mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000123,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000123,28,PERÚ MODERNO,0.0,0.0,0.0,
000123,29,PARTIDO POLÍTICO PERÚ PRIMERO,2.0,2.0,0.0,0.0
000123,30,SALVEMOS AL PERÚ,0.0,0.0,0.0,
000123,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,14.0,14.0,0.0,0.0
000123,32,PARTIDO APRISTA PERUANO,11.0,10.0,-1.0,-9.090909090909092
000123,33,RENOVACIÓN POPULAR,13.0,13.0,0.0,0.0
000123,34,PARTIDO DEMÓCRATA UNIDO PERÚ,8.0,8.0,0.0,0.0
000123,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
000123,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000123,37,UNIDAD NACIONAL,1.0,1.0,0.0,0.0
000123,38,PARTIDO MORADO,1.0,1.0,0.0,0.0
000123,80,VOTOS EN BLANCO,29.0,27.0,-2.0,-6.896551724137931
000123,81,VOTOS NULOS,20.0,20.0,0.0,0.0
000123,99,TOTAL DE CIUDADANOS QUE VOTARON,210.0,210.0,0.0,0.0
000356,1,ALIANZA ELECTORAL VENCEREMOS,1.0,1.0,0.0,0.0
000356,2,PARTIDO PATRIÓTICO DEL PERÚ,1.0,1.0,0.0,0.0
000356,3,PARTIDO CÍVICO OBRAS,3.0,2.0,-1.0,-33.33333333333333
000356,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000356,5,PARTIDO DEMÓCRATA VERDE,0.0,0.0,0.0,
000356,6,PARTIDO DEL BUEN GOBIERNO,0.0,0.0,0.0,
000356,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000356,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000356,9,PROGRESEMOS,0.0,0.0,0.0,
000356,10,PARTIDO SICREO,0.0,0.0,0.0,
000356,11,PARTIDO PAÍS PARA TODOS,1.0,1.0,0.0,0.0
000356,12,PARTIDO FRENTE DE LA ESPERANZA 2021,0.0,0.0,0.0,
000356,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.0,0.0,0.0,
000356,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000356,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.0,0.0,0.0,
000356,16,JUNTOS POR EL PERÚ,43.0,41.0,-2.0,-4.651162790697675
000356,17,PODEMOS PERÚ,6.0,6.0,0.0,0.0
000356,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
000356,19,FE EN EL PERÚ,0.0,0.0,0.0,
000356,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.0,0.0,0.0,
000356,21,FUERZA POPULAR,0.0,0.0,0.0,
000356,22,ALIANZA PARA EL PROGRESO,0.0,0.0,0.0,
000356,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.0,1.0,0.0,0.0
000356,24,AHORA NACIÓN - AN,1.0,1.0,0.0,0.0
000356,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000356,26,UN CAMINO DIFERENTE,0.0,0.0,0.0,
000356,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000356,28,PERÚ MODERNO,0.0,0.0,0.0,
000356,29,PARTIDO POLÍTICO PERÚ PRIMERO,0.0,0.0,0.0,
000356,30,SALVEMOS AL PERÚ,0.0,0.0,0.0,
000356,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.0,0.0,0.0,
000356,32,PARTIDO APRISTA PERUANO,9.0,1.0,-8.0,-88.88888888888889
000356,33,RENOVACIÓN POPULAR,0.0,0.0,0.0,
000356,34,PARTIDO DEMÓCRATA UNIDO PERÚ,0.0,0.0,0.0,
000356,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
000356,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000356,37,UNIDAD NACIONAL,0.0,0.0,0.0,
