mesa_id,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
021911,JUNTOS POR EL PERÚ,5,6.0,1.0,20.0
022061,JUNTOS POR EL PERÚ,10,11.0,1.0,10.0
022088,JUNTOS POR EL PERÚ,16,17.0,1.0,6.25
022146,JUNTOS POR EL PERÚ,15,15.0,0.0,0.0
022279,JUNTOS POR EL PERÚ,13,12.0,-1.0,-7.6923076923076925
022323,JUNTOS POR EL PERÚ,10,11.0,1.0,10.0
022339,JUNTOS POR EL PERÚ,13,13.0,0.0,0.0
022437,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
022470,JUNTOS POR EL PERÚ,29,29.0,0.0,0.0
022519,JUNTOS POR EL PERÚ,16,16.0,0.0,0.0
022571,JUNTOS POR EL PERÚ,10,10.0,0.0,0.0
022807,JUNTOS POR EL PERÚ,12,13.0,1.0,8.333333333333332
022860,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
022936,JUNTOS POR EL PERÚ,29,30.0,1.0,3.4482758620689653
022944,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
023120,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
023156,JUNTOS POR EL PERÚ,26,18.0,-8.0,-30.76923076923077
023242,JUNTOS POR EL PERÚ,19,18.0,-1.0,-5.263157894736842
023369,JUNTOS POR EL PERÚ,19,19.0,0.0,0.0
023438,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
023487,JUNTOS POR EL PERÚ,24,23.0,-1.0,-4.166666666666666
023506,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
023560,JUNTOS POR EL PERÚ,10,10.0,0.0,0.0
023621,JUNTOS POR EL PERÚ,16,12.0,-4.0,-25.0
023677,JUNTOS POR EL PERÚ,10,10.0,0.0,0.0
023696,JUNTOS POR EL PERÚ,34,34.0,0.0,0.0
023735,JUNTOS POR EL PERÚ,38,38.0,0.0,0.0
023738,JUNTOS POR EL PERÚ,31,31.0,0.0,0.0
023877,JUNTOS POR EL PERÚ,14,23.0,9.0,64.28571428571429
023884,JUNTOS POR EL PERÚ,16,15.0,-1.0,-6.25
023931,JUNTOS POR EL PERÚ,11,12.0,1.0,9.090909090909092
023977,JUNTOS POR EL PERÚ,28,29.0,1.0,3.571428571428571
024694,JUNTOS POR EL PERÚ,6,7.0,1.0,16.666666666666664
024998,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
025218,JUNTOS POR EL PERÚ,65,68.0,3.0,4.615384615384616
025277,JUNTOS POR EL PERÚ,29,29.0,0.0,0.0
025789,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
026226,JUNTOS POR EL PERÚ,17,17.0,0.0,0.0
026396,JUNTOS POR EL PERÚ,38,38.0,0.0,0.0
026485,JUNTOS POR EL PERÚ,25,25.0,0.0,0.0
026491,JUNTOS POR EL PERÚ,24,24.0,0.0,0.0
026624,JUNTOS POR EL PERÚ,39,40.0,1.0,2.564102564102564
026664,JUNTOS POR EL PERÚ,45,43.0,-2.0,-4.444444444444445
026758,JUNTOS POR EL PERÚ,53,52.0,-1.0,-1.8867924528301887
026764,JUNTOS POR EL PERÚ,34,40.0,6.0,17.647058823529413
026773,JUNTOS POR EL PERÚ,39,38.0,-1.0,-2.564102564102564
026797,JUNTOS POR EL PERÚ,28,28.0,0.0,0.0
027030,JUNTOS POR EL PERÚ,22,22.0,0.0,0.0
027042,JUNTOS POR EL PERÚ,41,43.0,2.0,4.878048780487805
027043,JUNTOS POR EL PERÚ,36,37.0,1.0,2.7777777777777777
027178,JUNTOS POR EL PERÚ,27,27.0,0.0,0.0
027285,JUNTOS POR EL PERÚ,16,16.0,0.0,0.0
027465,JUNTOS POR EL PERÚ,24,27.0,3.0,12.5
027506,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
027514,JUNTOS POR EL PERÚ,8,7.0,-1.0,-12.5
027749,JUNTOS POR EL PERÚ,1,3.0,2.0,200.0
027768,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
027838,JUNTOS POR EL PERÚ,3,4.0,1.0,33.33333333333333
027850,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
028004,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
028020,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
028174,JUNTOS POR EL PERÚ,2,1.0,-1.0,-50.0
028547,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
028554,JUNTOS POR EL PERÚ,10,11.0,1.0,10.0
028624,JUNTOS POR EL PERÚ,16,17.0,1.0,6.25
028653,JUNTOS POR EL PERÚ,16,16.0,0.0,0.0
028683,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
028812,JUNTOS POR EL PERÚ,5,4.0,-1.0,-20.0
028901,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
028943,JUNTOS POR EL PERÚ,13,13.0,0.0,0.0
028969,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
029039,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
029043,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
029136,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
029173,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
029177,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
029231,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
029309,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
029338,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
029408,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
029439,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
029855,JUNTOS POR EL PERÚ,5,4.0,-1.0,-20.0
030054,JUNTOS POR EL PERÚ,5,4.0,-1.0,-20.0
030055,JUNTOS POR EL PERÚ,6,5.0,-1.0,-16.666666666666664
030102,JUNTOS POR EL PERÚ,11,5.0,-6.0,-54.54545454545454
030148,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
030239,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
030264,JUNTOS POR EL PERÚ,12,12.0,0.0,0.0
030316,JUNTOS POR EL PERÚ,18,17.0,-1.0,-5.555555555555555
030317,JUNTOS POR EL PERÚ,18,18.0,0.0,0.0
030939,JUNTOS POR EL PERÚ,18,18.0,0.0,0.0
030941,JUNTOS POR EL PERÚ,18,19.0,1.0,5.555555555555555
030959,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
031575,JUNTOS POR EL PERÚ,8,7.0,-1.0,-12.5
031642,JUNTOS POR EL PERÚ,2,3.0,1.0,50.0
031736,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
031756,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
031907,JUNTOS POR EL PERÚ,23,23.0,0.0,0.0
031936,JUNTOS POR EL PERÚ,16,16.0,0.0,0.0
031994,JUNTOS POR EL PERÚ,16,19.0,3.0,18.75
032070,JUNTOS POR EL PERÚ,41,44.0,3.0,7.317073170731707
032134,JUNTOS POR EL PERÚ,22,23.0,1.0,4.545454545454546
032303,JUNTOS POR EL PERÚ,19,19.0,0.0,0.0
032324,JUNTOS POR EL PERÚ,21,20.0,-1.0,-4.761904761904762
032341,JUNTOS POR EL PERÚ,18,17.0,-1.0,-5.555555555555555
032362,JUNTOS POR EL PERÚ,30,30.0,0.0,0.0
032363,JUNTOS POR EL PERÚ,22,21.0,-1.0,-4.545454545454546
032367,JUNTOS POR EL PERÚ,28,25.0,-3.0,-10.714285714285714
032389,JUNTOS POR EL PERÚ,19,19.0,0.0,0.0
032394,JUNTOS POR EL PERÚ,14,15.0,1.0,7.142857142857142
032411,JUNTOS POR EL PERÚ,26,27.0,1.0,3.8461538461538463
032439,JUNTOS POR EL PERÚ,19,21.0,2.0,10.526315789473683
032440,JUNTOS POR EL PERÚ,25,24.0,-1.0,-4.0
032447,JUNTOS POR EL PERÚ,31,29.0,-2.0,-6.451612903225806
032482,JUNTOS POR EL PERÚ,59,57.0,-2.0,-3.389830508474576
032510,JUNTOS POR EL PERÚ,45,43.0,-2.0,-4.444444444444445
032574,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
032674,JUNTOS POR EL PERÚ,8,8.0,0.0,0.0
032791,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
032851,JUNTOS POR EL PERÚ,11,10.0,-1.0,-9.090909090909092
033157,JUNTOS POR EL PERÚ,21,19.0,-2.0,-9.523809523809524
033309,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
033428,JUNTOS POR EL PERÚ,11,12.0,1.0,9.090909090909092
033534,JUNTOS POR EL PERÚ,7,6.0,-1.0,-14.285714285714285
033548,JUNTOS POR EL PERÚ,32,0.0,-32.0,-100.0
033629,JUNTOS POR EL PERÚ,15,15.0,0.0,0.0
033665,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
033872,JUNTOS POR EL PERÚ,22,0.0,-22.0,-100.0
034169,JUNTOS POR EL PERÚ,26,25.0,-1.0,-3.8461538461538463
034213,JUNTOS POR EL PERÚ,22,22.0,0.0,0.0
034321,JUNTOS POR EL PERÚ,26,26.0,0.0,0.0
034487,JUNTOS POR EL PERÚ,14,13.0,-1.0,-7.142857142857142
