ubigeo_distrito,votos_validos,votos_blancos,votos_nulos,votos_emitidos,actas_contabilizadas,actas_total,cand_08,cand_10,cand_35,cand_16,cand_14,cand_23,cand_02,cand_33,cand_31,cand_21,cand_32,cand_25,cand_01,cand_12,cand_20,cand_24,cand_29,cand_03,cand_37,cand_17,cand_27,cand_22,cand_38,cand_18,cand_26,cand_11,cand_07,cand_28,cand_09,cand_05,cand_19,cand_36,cand_30,cand_04,cand_15,cand_34
010101,13472,1891,1108,16471,76,76,2395,1062,1141,1745,1395,574,1750,867,455,199,107,131,202,141,335,127,121,177,39,35,74,87,50,44,35,25,19,22,28,11,24,8,12,7,0,28
010102,121,40,12,173,2,2,13,15,5,14,16,1,20,2,3,1,0,0,3,0,13,1,0,4,1,2,2,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0
010103,611,137,28,776,5,5,120,188,11,8,66,16,31,4,12,1,9,0,20,3,74,7,18,3,0,1,4,2,0,1,1,0,0,3,0,1,0,1,3,0,0,3
010104,365,65,46,476,3,3,67,77,18,17,87,2,18,7,9,2,5,1,9,3,4,13,1,9,1,0,3,3,2,5,0,0,0,1,0,0,0,0,0,0,0,1
010105,380,105,34,519,4,4,138,82,8,15,54,6,20,6,3,0,1,3,14,0,9,2,1,3,1,0,5,0,0,2,0,3,0,0,0,1,0,0,1,0,0,2
010106,469,154,76,699,7,7,157,88,21,7,32,6,38,6,5,2,6,2,10,10,43,0,2,6,0,0,8,3,0,6,1,1,0,0,2,0,2,2,1,1,0,1
010107,321,45,17,383,2,2,52,57,5,20,80,8,36,0,9,3,3,2,0,1,14,1,1,5,3,4,2,4,3,0,0,0,0,1,2,0,1,1,3,0,0,0
010108,522,105,40,667,3,3,159,70,35,23,61,21,35,12,5,3,6,1,16,1,27,4,6,15,1,1,10,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0
010109,2375,535,252,3162,17,17,142,1355,38,41,369,21,69,31,25,16,43,2,25,7,36,26,4,24,3,34,18,4,0,10,3,3,3,8,2,1,4,3,0,0,0,5
010110,1448,325,132,1905,10,10,218,284,98,117,127,41,131,23,27,10,17,5,29,103,120,8,7,6,4,27,13,7,7,4,1,1,2,0,1,2,3,1,0,1,0,3
010111,710,102,35,847,4,4,209,165,24,25,66,30,74,8,17,2,10,1,5,4,25,12,3,10,2,0,7,2,0,2,0,2,0,1,0,1,1,0,1,0,0,1
010112,467,81,55,603,3,3,89,57,13,7,60,24,33,4,2,13,42,4,35,16,3,4,2,3,2,10,0,3,0,1,0,23,1,5,2,3,3,1,1,0,0,1
010113,469,114,25,608,4,4,145,113,15,5,46,16,48,11,7,2,7,5,10,0,8,4,2,8,2,0,2,2,0,2,4,1,0,0,1,0,1,1,0,1,0,0
010114,1247,223,100,1570,8,8,273,244,72,96,128,32,174,21,36,10,12,8,22,7,25,6,2,19,3,6,15,8,3,5,3,1,0,3,0,2,2,2,2,1,0,4
010115,376,56,44,476,3,3,54,61,15,30,63,10,62,15,4,2,2,0,10,3,27,1,0,7,0,2,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0
010116,238,34,21,293,2,2,33,58,4,9,38,2,35,5,3,2,2,3,6,0,12,9,2,7,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
010117,413,119,32,564,4,4,49,118,7,13,89,13,29,8,5,6,8,6,17,9,3,4,2,8,0,1,8,2,3,0,0,0,0,0,0,2,1,0,0,1,0,1
010118,216,47,19,282,2,2,34,20,18,21,37,2,34,8,6,2,1,1,5,0,3,3,1,9,0,1,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1
010119,422,74,28,524,3,3,141,90,8,12,38,8,35,8,17,1,5,0,12,12,11,2,2,4,0,1,4,0,1,2,3,0,0,0,0,0,2,3,0,0,0,0
010120,719,205,98,1022,6,6,124,150,32,27,123,12,34,13,15,9,7,6,19,1,48,4,13,32,1,12,8,7,1,5,4,3,0,1,4,0,0,1,1,0,0,2
010121,218,58,19,295,2,2,72,27,4,1,27,14,29,4,4,1,1,3,4,7,6,1,1,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
010201,3384,766,290,4440,25,25,695,1175,144,85,416,73,152,26,40,29,57,43,72,54,130,29,16,22,10,17,13,8,12,15,6,1,3,7,3,7,5,4,5,2,0,8
010202,4276,1093,448,5817,34,34,801,1993,86,45,493,42,108,26,31,30,187,22,80,23,48,90,22,23,17,24,24,3,2,10,8,3,2,3,1,3,7,6,4,1,0,8
010203,2436,591,216,3243,16,16,339,1034,68,59,297,45,80,11,21,15,57,60,123,16,69,26,20,15,6,12,13,3,4,7,5,3,2,4,4,7,3,2,1,2,0,3
010204,956,171,41,1168,6,6,122,462,30,16,93,18,44,5,9,6,13,12,34,2,39,9,5,6,3,8,9,0,0,2,1,0,1,1,0,1,2,2,0,0,0,1
010205,12160,2126,1060,15346,72,72,2454,3358,584,498,1175,611,748,305,241,139,175,288,410,147,129,172,118,93,76,63,66,39,55,26,27,15,11,22,33,10,20,15,4,3,0,30
010206,9142,2027,723,11892,97,97,433,6072,113,57,347,51,150,46,27,24,1142,41,51,14,47,112,22,71,11,89,74,20,12,18,14,6,5,11,2,8,31,7,2,2,0,10
010301,379,98,75,552,3,3,57,84,21,43,46,10,34,11,6,5,3,2,3,4,3,2,2,14,2,3,11,1,0,4,2,0,2,2,0,1,0,0,1,0,0,0
010302,389,61,35,485,3,3,53,178,9,6,59,4,13,6,7,2,8,1,11,2,4,6,2,8,1,0,2,0,1,2,0,1,0,1,0,0,2,0,0,0,0,0
010303,439,116,59,614,3,3,63,143,15,18,58,13,30,11,5,8,9,1,10,1,10,6,4,8,0,2,9,4,0,3,0,0,3,2,0,0,0,0,0,0,0,3
010304,217,40,27,284,2,2,54,42,14,8,27,5,13,4,6,3,2,0,16,4,3,0,0,4,0,0,2,2,0,1,0,0,0,1,0,1,2,2,1,0,0,0
010305,182,30,27,239,2,2,63,16,8,17,23,9,11,4,1,0,1,0,17,1,2,0,2,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
010306,2635,568,304,3507,17,17,587,898,74,90,393,59,154,25,49,15,58,12,34,7,16,31,8,28,12,14,15,5,4,13,7,1,2,5,3,3,5,2,3,0,0,3
010307,171,42,15,228,2,2,36,39,4,7,31,2,8,6,3,2,6,0,2,1,2,4,1,2,1,0,2,0,3,3,0,0,0,1,1,0,2,0,0,0,0,2
010308,308,80,34,422,3,3,59,80,8,17,32,7,42,7,6,4,2,4,7,1,7,3,0,3,0,2,4,1,1,2,1,1,1,0,0,1,1,2,0,0,0,2
010309,799,156,87,1042,6,6,119,291,32,45,84,16,71,5,7,10,22,2,14,1,13,15,1,13,7,4,11,2,1,1,4,1,0,2,2,0,0,1,1,1,0,0
010310,552,144,69,765,4,4,193,78,19,33,58,18,41,9,9,6,6,2,29,5,14,2,2,2,5,1,3,4,0,4,1,1,1,1,0,1,1,0,2,1,0,0
010311,2462,592,215,3269,18,18,637,922,42,52,257,52,118,17,35,16,59,8,29,8,34,34,10,32,5,4,23,8,5,10,5,4,7,7,5,4,3,6,0,0,0,4
010312,2904,621,282,3807,21,21,818,409,134,225,377,87,306,72,54,36,26,17,61,17,34,24,17,28,19,33,35,10,5,12,5,4,7,6,10,4,4,2,2,0,0,4
010401,913,226,89,1228,7,7,158,150,61,53,122,39,107,17,25,11,14,3,23,16,36,9,6,7,2,5,16,2,1,6,1,3,1,1,7,2,1,1,0,0,0,7
010402,2800,690,331,3821,20,20,389,1277,48,66,321,54,204,25,36,13,65,16,103,1,16,24,16,25,10,11,18,5,3,14,3,1,3,15,1,6,3,5,0,0,0,3
010403,369,130,30,529,7,7,56,192,6,15,29,2,24,3,2,4,9,0,10,0,3,1,0,2,2,0,2,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0
010404,929,219,150,1298,7,7,277,152,40,28,135,16,77,18,19,6,21,4,16,11,18,6,11,24,3,0,15,0,0,10,4,3,1,5,0,2,1,2,1,1,0,2
010405,913,167,83,1163,6,6,184,370,27,20,81,23,81,8,5,10,18,10,8,3,2,10,7,8,3,3,12,1,0,6,4,0,0,3,1,2,0,2,0,0,0,1
010406,307,71,25,403,3,3,102,34,22,11,49,17,25,5,2,2,4,1,4,2,5,0,5,7,1,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1
010407,450,104,43,597,4,4,191,78,17,20,45,15,33,9,12,2,0,1,5,1,5,2,2,0,0,0,3,0,0,1,0,0,0,0,2,1,1,1,0,1,0,2
010408,365,98,44,507,3,3,105,59,18,16,38,10,50,3,4,3,3,2,15,1,13,1,3,3,3,0,9,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0
010409,1847,369,188,2404,12,12,447,416,56,107,240,51,153,55,37,16,31,5,33,7,57,14,9,16,4,8,18,9,6,8,3,1,3,6,5,9,3,5,2,0,0,7
010410,252,29,16,297,2,2,39,62,8,3,23,6,12,2,0,1,4,1,8,1,61,2,1,1,1,6,5,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
010411,403,104,66,573,3,3,71,72,20,40,65,11,41,7,16,3,3,6,5,4,10,4,1,1,3,0,6,4,1,2,1,1,1,1,0,1,0,2,0,0,0,0
010412,1379,425,189,1993,11,11,274,570,31,27,134,34,111,12,16,13,15,9,16,13,14,14,6,16,0,10,11,3,3,7,0,2,0,3,1,1,3,7,1,0,0,2
010413,1214,535,191,1940,11,11,387,199,22,44,184,15,65,9,16,5,20,7,43,6,69,19,10,9,12,1,14,3,2,19,1,2,3,5,5,4,0,2,2,1,0,9
010414,1051,448,162,1661,18,18,266,341,37,13,128,17,31,6,8,8,24,3,26,8,54,9,5,12,2,4,12,3,2,5,3,2,1,3,2,4,3,4,2,1,0,2
010415,349,55,18,422,3,3,100,68,8,4,32,7,32,3,5,1,9,0,16,1,17,9,4,14,1,8,4,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1
010416,271,87,34,392,3,3,41,56,4,3,23,9,18,7,3,4,9,2,19,5,32,13,0,6,1,2,4,2,1,2,0,0,0,1,0,2,1,0,0,0,0,1
010417,518,135,29,682,4,4,157,117,16,17,56,13,22,6,4,7,13,2,53,0,5,7,2,7,2,2,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1
010418,214,59,42,315,2,2,59,51,1,6,25,4,13,2,3,0,5,1,5,2,25,0,1,2,0,0,5,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
010419,787,214,43,1044,7,7,185,371,9,7,59,6,33,3,4,5,8,2,21,0,32,8,6,7,0,1,7,4,1,5,0,0,0,0,0,0,0,1,0,1,0,1
010420,1095,336,149,1580,12,12,290,248,39,28,161,22,53,8,13,5,13,2,23,13,78,10,5,11,1,10,10,24,1,7,6,3,1,2,1,2,1,2,1,0,0,1
010421,808,149,55,1012,5,5,233,140,22,37,126,12,107,19,10,1,8,3,8,4,20,5,4,12,2,2,7,3,2,6,1,3,0,2,3,0,4,1,1,0,0,0
010422,669,142,54,865,4,4,87,254,19,12,94,8,67,2,12,5,8,1,9,12,29,8,3,5,0,9,10,1,1,3,1,2,1,1,1,1,0,1,1,0,0,1
010423,480,157,54,691,5,5,37,175,8,18,83,7,30,2,8,2,20,5,18,3,20,5,3,7,0,0,3,0,0,10,0,2,2,4,0,1,1,0,1,0,0,5
010501,2155,502,209,2866,15,15,410,209,248,167,245,121,265,72,49,17,23,21,44,68,37,22,11,28,14,5,12,10,6,10,8,3,1,8,6,1,2,3,1,2,0,6
010502,421,67,56,544,3,3,78,69,24,23,60,25,36,10,7,6,7,3,13,8,12,2,0,8,0,0,7,3,0,3,6,0,0,1,1,2,2,2,0,0,0,3
010503,710,237,120,1067,8,8,127,283,22,15,56,15,63,2,6,4,16,1,5,4,10,5,0,45,4,1,7,1,4,3,2,1,2,0,1,2,0,0,0,0,0,3
010504,1213,334,178,1725,10,10,311,69,165,88,124,68,103,34,14,13,19,12,20,10,64,12,1,15,6,1,13,2,6,9,11,3,2,7,1,1,4,0,1,0,0,4
010505,626,225,94,945,6,6,97,91,97,28,71,25,80,3,4,1,5,4,8,5,35,5,1,2,7,11,4,2,1,7,23,2,1,3,0,0,1,0,0,1,0,1
010506,763,183,120,1066,6,6,155,76,83,44,81,58,78,14,10,9,9,10,8,7,41,9,7,28,3,2,3,4,2,8,1,3,1,1,0,2,1,0,0,0,0,5
010507,224,89,51,364,3,3,67,38,6,9,24,12,20,3,2,0,4,4,3,0,11,6,0,6,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2
010508,896,191,79,1166,6,6,233,107,76,56,90,39,118,18,16,4,22,6,19,8,21,4,3,7,6,10,11,4,2,4,2,0,1,3,0,0,1,2,3,0,0,0
010509,2917,872,423,4212,29,29,528,1042,124,77,308,71,152,34,39,21,87,30,44,12,58,30,18,70,13,18,62,7,4,15,7,6,4,9,1,8,4,2,3,3,0,6
010510,308,82,41,431,3,3,78,18,33,19,26,16,36,3,2,2,1,1,9,5,24,1,7,4,1,2,2,1,2,5,2,1,2,1,0,0,2,0,1,0,0,1
010511,213,36,30,279,2,2,54,27,32,6,20,13,10,5,2,1,3,0,1,2,14,0,1,15,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
010512,1023,247,81,1351,11,11,153,535,15,7,104,10,11,6,3,3,38,2,20,1,11,14,4,2,2,4,7,37,2,5,1,1,1,2,1,1,1,10,1,1,0,7
010601,7301,1977,668,9946,86,86,448,4971,103,36,276,49,175,32,36,29,334,19,157,14,221,49,47,50,9,24,45,14,22,21,8,7,48,6,7,7,12,9,7,0,0,9
010602,3529,998,323,4850,47,47,121,2572,16,5,64,16,29,15,5,17,201,9,75,4,50,31,146,27,5,8,35,4,4,18,3,4,5,3,0,3,10,7,1,0,0,16
010603,4088,818,444,5350,41,41,58,3166,33,9,74,2,11,3,1,6,187,6,11,2,123,65,28,120,2,6,9,9,103,8,2,4,0,3,2,10,6,7,2,0,0,10
010701,23147,4659,1949,29755,152,152,4385,7688,807,749,3080,682,1210,329,360,237,426,211,408,158,400,293,180,290,143,118,277,67,86,82,68,39,114,45,18,31,32,46,41,10,0,37
010702,10764,2423,905,14092,77,77,1762,4746,187,207,1397,179,376,91,113,83,248,56,250,78,101,121,66,159,37,87,134,18,21,42,36,10,21,25,9,10,19,26,20,6,0,23
010703,3718,841,261,4820,27,27,713,1633,82,52,470,36,118,20,24,21,70,91,108,16,63,25,31,25,12,7,20,5,9,18,4,3,8,2,0,8,7,4,1,6,0,6
010704,2879,716,198,3793,19,19,735,1105,104,23,259,80,83,21,39,26,66,35,54,11,22,26,28,10,20,25,23,6,18,12,4,2,5,6,8,5,5,5,2,0,0,6
010705,3110,613,293,4016,22,22,468,1575,52,56,368,31,120,15,20,21,47,14,41,14,86,31,14,28,21,13,21,1,4,12,4,3,3,3,1,3,4,5,5,3,0,3
010706,4201,1126,371,5698,29,29,743,1568,131,112,497,112,342,28,37,67,75,18,63,63,21,42,18,37,21,44,42,7,15,22,13,7,7,8,2,8,5,10,2,1,0,13
010707,1523,296,122,1941,13,13,277,607,58,14,185,29,92,9,6,9,41,21,28,12,24,16,9,16,6,2,10,7,2,11,1,2,0,1,1,7,6,6,1,1,0,6
020101,32339,4198,2470,39007,167,167,4397,2768,2462,3933,3217,2830,5224,1250,1297,794,504,276,502,206,236,222,248,201,94,175,184,234,136,181,149,139,47,79,59,40,41,25,9,16,0,164
020102,34846,4728,3001,42575,183,183,5147,3615,2150,3798,3497,2918,5755,1244,1275,884,536,263,589,185,268,313,295,222,104,173,191,249,87,245,114,161,42,61,65,53,44,41,22,19,0,221
020103,668,184,39,891,7,7,159,203,19,6,53,26,81,2,1,5,15,0,41,3,2,6,0,8,1,6,5,1,1,6,0,2,0,4,1,2,1,4,0,0,0,4
020104,151,56,6,213,2,2,25,23,4,6,22,2,26,4,2,2,2,3,7,5,0,5,2,1,0,5,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1
020105,768,215,83,1066,8,8,172,285,16,22,83,31,42,2,9,7,15,5,4,1,9,8,5,5,5,11,8,1,2,3,1,1,0,3,0,2,3,2,1,0,0,4
020106,2897,564,259,3720,17,17,542,680,102,109,429,170,394,52,37,73,68,13,48,3,13,30,10,7,8,12,12,11,4,12,6,7,1,3,5,7,5,5,5,3,0,11
020107,715,154,37,906,5,5,124,83,13,34,101,71,121,3,10,20,58,2,6,1,8,7,4,6,2,7,9,0,0,4,1,2,0,4,3,4,2,0,0,0,0,5
020108,1666,284,188,2138,10,10,268,440,36,72,168,136,257,18,32,29,49,11,25,6,10,8,12,14,3,6,7,11,2,9,3,18,0,2,1,1,2,1,0,1,0,8
020109,518,117,40,675,5,5,76,112,15,12,79,20,110,11,9,6,12,1,2,0,1,6,2,3,2,1,16,2,0,6,1,2,0,2,1,3,0,2,1,0,0,2
020110,2339,563,206,3108,16,16,699,664,56,61,220,102,132,14,32,15,116,19,21,26,14,10,12,4,8,17,19,4,6,40,1,5,1,3,4,5,1,0,2,1,0,5
020111,2020,492,147,2659,16,16,430,518,35,49,226,99,259,11,21,47,125,6,24,4,10,21,8,11,3,9,21,5,1,18,5,21,0,4,3,4,1,9,0,1,0,11
020112,3361,795,339,4495,20,20,580,834,127,149,396,274,381,45,75,80,57,14,65,12,15,26,15,28,6,18,22,10,6,37,5,17,6,12,8,6,6,5,6,2,0,16
020201,955,192,65,1212,6,6,173,164,17,68,92,61,194,21,20,13,19,6,12,12,18,5,3,12,1,4,6,2,0,8,2,4,0,5,0,2,2,1,2,2,0,4
020203,707,212,60,979,6,6,200,168,10,15,59,48,94,19,5,5,16,3,3,3,9,7,4,5,1,6,4,2,0,8,0,2,0,2,6,0,0,1,1,0,0,1
020205,283,45,27,355,2,2,28,58,8,12,35,22,48,3,7,3,26,0,7,1,4,2,2,1,3,1,2,0,1,1,1,2,0,0,1,1,0,0,0,0,0,3
020206,1106,245,117,1468,9,9,254,190,36,29,120,147,120,24,28,17,34,3,13,1,19,14,3,6,1,9,4,4,2,8,3,3,0,2,1,1,2,3,0,2,0,3
020208,360,73,26,459,3,3,77,59,13,11,42,34,72,4,6,7,9,0,4,0,0,1,1,2,1,2,1,0,0,8,0,3,1,0,0,0,1,0,0,0,0,1
020301,1622,311,102,2035,12,12,225,189,61,117,225,57,333,38,47,35,79,14,35,15,9,18,9,24,1,5,5,8,3,38,4,1,0,6,1,9,1,2,1,1,0,6
020302,101,19,7,127,1,1,19,9,9,10,4,6,30,3,0,0,1,0,1,0,2,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0
020304,972,222,77,1271,8,8,236,203,19,34,128,30,93,20,34,17,34,11,10,3,5,5,12,10,4,10,6,6,0,23,2,2,0,1,2,4,0,3,1,0,0,4
020305,833,175,37,1045,6,6,241,162,24,25,89,51,65,5,17,14,36,17,8,5,5,6,13,3,1,20,4,0,1,5,2,1,1,2,1,3,1,2,1,0,0,2
020310,494,140,33,667,5,5,36,74,15,11,78,18,115,5,6,33,27,1,10,5,3,6,0,10,0,14,3,3,2,2,2,1,1,5,0,2,3,1,0,0,0,2
020311,737,169,63,969,7,7,125,124,13,42,118,24,96,8,20,15,30,6,13,11,0,6,1,4,2,4,10,2,0,43,3,0,0,3,2,4,0,1,2,0,0,5
020313,275,47,9,331,3,3,45,29,13,16,38,10,37,4,2,24,25,2,1,1,3,5,4,0,0,6,1,2,0,2,1,0,0,0,0,0,1,1,0,0,0,2
020315,441,85,22,548,4,4,18,149,8,26,69,6,74,4,2,5,31,1,8,2,2,5,3,1,0,4,1,0,0,13,0,1,0,0,3,4,1,0,0,0,0,0
020317,140,29,4,173,2,2,34,11,5,7,17,12,24,0,1,1,6,3,4,3,3,0,0,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2
020320,215,59,24,298,3,3,49,22,5,4,19,8,37,7,5,3,12,4,6,1,5,0,7,4,0,0,1,0,0,6,0,4,0,1,2,1,0,0,0,0,0,2
020321,646,139,55,840,6,6,101,127,23,22,73,40,97,5,14,13,55,0,11,0,3,5,2,9,2,5,9,2,1,4,1,2,0,4,1,8,0,2,0,0,0,5
020322,121,28,2,151,2,2,34,7,8,5,5,4,18,1,0,1,23,1,1,2,0,2,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
020323,1090,186,59,1335,7,7,271,150,56,45,135,62,94,6,27,37,49,5,54,8,6,9,3,3,7,14,10,3,1,15,4,1,0,1,0,2,3,2,0,1,0,6
020324,151,34,11,196,2,2,12,13,1,15,22,9,15,4,3,10,16,2,3,3,2,1,0,1,0,3,2,0,0,7,0,1,0,0,0,1,0,1,1,0,0,3
020325,2457,613,204,3274,17,17,546,543,95,147,315,101,198,34,67,69,74,17,32,8,23,29,15,19,2,19,17,7,2,34,4,7,3,4,3,7,3,2,0,4,0,7
020401,7033,1910,1048,9991,43,43,1067,1939,318,341,753,386,793,141,164,98,149,28,98,44,57,63,102,65,20,60,54,32,9,103,16,19,22,6,14,16,9,12,7,2,0,26
020402,1369,312,140,1821,8,8,293,248,71,81,138,102,190,16,29,7,34,7,8,8,8,9,23,13,5,4,10,8,3,20,7,2,11,3,2,1,0,2,1,1,0,4
020403,917,292,93,1302,6,6,102,349,12,16,134,55,58,7,11,11,35,3,11,0,2,9,6,3,1,8,12,0,0,46,5,1,2,2,0,8,1,3,0,0,0,4
020404,1432,275,77,1784,8,8,271,469,27,52,165,96,132,7,21,21,33,7,18,8,14,12,7,2,1,12,11,2,1,11,6,6,0,6,1,1,2,3,1,1,0,5
020405,792,282,91,1165,6,6,172,248,20,20,103,40,43,7,14,11,19,2,9,0,5,6,5,11,4,4,16,3,0,10,1,2,0,2,4,1,2,3,1,0,0,4
020406,4720,1606,641,6967,31,31,874,1371,149,148,567,273,407,61,81,62,175,23,84,38,35,31,29,26,13,45,37,9,2,40,3,18,10,10,12,15,12,18,4,3,0,35
020407,787,174,60,1021,5,5,144,133,24,13,88,47,202,12,18,16,13,10,6,7,5,5,11,3,2,1,4,6,2,5,2,0,1,1,1,0,1,1,1,1,0,1
020408,1217,388,204,1809,9,9,199,337,46,24,200,75,144,2,16,20,29,3,31,2,7,7,12,5,0,9,9,0,0,12,2,4,0,2,1,6,3,2,3,1,0,4
020409,1624,489,211,2324,11,11,81,699,50,33,302,72,99,5,22,19,51,10,26,2,5,9,16,15,3,6,13,3,1,31,3,7,1,4,4,9,3,7,1,1,0,11
020410,1699,348,237,2284,10,10,396,303,55,103,176,123,207,14,36,14,74,4,23,9,8,14,14,17,8,14,15,11,0,28,0,3,2,1,8,6,1,2,2,1,0,7
020411,1893,342,128,2363,12,12,486,452,53,55,255,122,168,26,24,16,49,16,25,8,4,23,10,5,1,12,8,1,4,35,3,6,2,3,3,4,3,3,2,0,0,6
020501,17007,3241,1597,21845,95,95,4716,1305,1526,1122,1429,1848,738,435,519,226,687,129,235,515,410,117,173,101,154,82,79,49,44,84,49,36,19,33,23,26,28,12,11,4,0,43
020502,2601,608,226,3435,15,15,812,654,76,68,283,178,72,26,40,29,85,9,21,14,34,14,41,13,16,19,25,4,4,9,6,3,2,9,1,6,7,4,1,0,0,16
020503,1686,305,109,2100,9,9,529,135,91,72,145,258,40,23,40,21,101,5,15,55,50,10,7,12,10,11,10,3,1,18,3,2,3,3,1,1,1,3,1,1,0,5
020505,3916,1154,332,5402,24,24,1354,537,219,106,392,231,142,29,85,58,276,26,48,33,118,41,24,20,13,26,16,10,5,27,16,15,0,6,3,4,6,10,4,0,0,16
020601,505,174,50,729,5,5,109,58,20,28,35,30,64,3,5,3,15,3,2,5,102,3,0,3,0,0,3,1,1,7,0,1,0,1,0,1,0,1,0,0,0,1
020602,146,49,18,213,2,2,40,14,5,2,5,3,8,0,1,3,8,0,0,1,46,1,0,1,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0
020603,171,54,13,238,2,2,22,82,1,0,9,3,4,1,1,12,14,0,0,0,9,2,1,1,1,0,2,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0
020604,1296,259,92,1647,9,9,168,366,19,18,150,44,80,0,4,43,65,5,3,1,248,0,6,5,2,17,6,0,0,33,0,1,0,3,1,1,2,2,1,0,0,2
020605,427,97,60,584,4,4,113,41,43,7,41,27,39,5,3,13,25,2,5,4,23,8,1,5,1,1,1,2,0,12,0,0,0,2,2,0,0,0,0,0,0,1
020606,302,80,21,403,3,3,48,48,8,6,17,17,14,2,2,13,42,0,1,4,62,2,1,1,0,3,3,1,0,1,2,1,0,1,0,0,1,1,0,0,0,0
020607,161,38,8,207,2,2,67,9,4,1,6,12,17,1,1,5,18,0,0,2,12,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
020701,11270,3055,1421,15746,68,68,2909,1018,747,815,970,1302,1006,283,300,226,262,72,153,106,106,146,81,121,40,80,66,55,26,89,59,45,7,26,18,28,13,24,10,3,0,58
020702,606,104,39,749,4,4,141,110,23,15,53,29,57,12,2,10,71,1,7,5,13,6,3,7,11,7,1,3,2,6,4,0,0,1,1,1,2,0,1,0,0,1
020703,639,252,96,987,5,5,232,82,13,19,47,80,49,6,6,5,18,4,9,3,14,5,7,8,2,3,11,1,1,3,1,0,0,1,2,5,0,1,0,0,0,1
020704,675,197,90,962,5,5,229,70,23,28,43,46,88,9,7,17,39,5,9,4,1,3,1,1,1,8,7,5,2,5,1,1,1,4,3,2,0,0,2,0,0,10
020705,992,268,136,1396,7,7,328,109,37,40,81,129,101,14,9,9,33,3,10,1,5,17,9,2,3,12,8,1,0,6,3,4,1,2,2,0,4,3,0,0,0,6
020706,2803,979,297,4079,27,27,1023,698,49,33,338,87,75,21,12,29,143,6,20,2,67,35,13,16,4,14,22,4,2,23,5,8,3,8,3,13,8,10,1,0,0,8
020707,3510,1311,453,5274,24,24,1146,858,90,88,433,186,190,25,22,40,122,16,41,9,21,33,17,27,5,8,26,7,9,33,8,3,1,3,3,12,6,10,3,1,0,8
020708,1961,898,403,3262,16,16,614,346,39,58,206,178,102,10,23,42,81,11,42,12,19,25,25,13,5,10,11,4,2,23,8,4,2,6,2,11,3,10,2,0,0,12
020709,1040,280,111,1431,9,9,173,311,19,22,119,63,112,5,12,19,64,2,9,5,53,3,8,6,3,6,6,2,3,4,0,0,1,1,1,0,3,1,1,0,0,3
020710,438,110,105,653,4,4,116,76,12,10,45,28,39,4,6,4,25,1,12,5,3,8,3,2,1,10,6,1,1,4,1,1,0,3,0,7,0,0,0,0,0,4
020801,3004,591,247,3842,21,21,293,918,88,123,314,307,420,51,36,42,61,39,41,4,20,18,11,20,4,26,31,11,1,74,3,9,3,2,2,9,4,2,4,0,0,13
020802,2197,372,151,2720,14,14,126,910,50,60,261,188,277,27,22,16,54,13,19,0,22,12,4,6,0,24,13,5,1,40,1,3,3,7,4,5,3,2,4,1,0,14
020803,4094,885,347,5326,42,42,381,1197,185,186,568,335,403,32,90,51,73,26,54,7,15,45,105,23,9,31,28,7,1,110,21,24,2,7,2,12,4,12,4,1,0,43
020804,1021,181,65,1267,11,11,53,473,30,16,141,133,53,3,9,6,21,2,8,3,3,11,10,6,2,11,1,2,0,13,0,6,0,2,0,0,0,2,0,0,0,1
020805,2142,331,106,2579,21,21,253,706,48,65,287,147,274,15,20,51,57,16,21,5,29,16,16,10,1,13,17,2,1,35,1,5,1,5,1,4,1,8,1,1,0,9
020806,615,141,58,814,9,9,53,239,27,10,68,55,70,1,7,1,25,1,13,0,3,2,3,6,0,4,6,1,0,8,0,3,1,1,1,2,1,1,1,0,0,1
020807,1255,229,97,1581,10,10,96,457,27,30,152,132,178,12,2,11,24,8,10,3,3,7,12,9,2,16,10,3,2,13,2,1,2,2,6,7,2,4,1,0,0,9
