ubigeo_distrito,votos_validos,votos_blancos,votos_nulos,votos_emitidos,actas_contabilizadas,actas_total,cand_08,cand_10,cand_35,cand_16,cand_14,cand_23,cand_02,cand_33,cand_31,cand_21,cand_32,cand_25,cand_01,cand_12,cand_20,cand_24,cand_29,cand_03,cand_37,cand_17,cand_27,cand_22,cand_38,cand_18,cand_26,cand_11,cand_07,cand_28,cand_09,cand_05,cand_19,cand_36,cand_30,cand_04,cand_15,cand_34
120804,10058,1680,813,12551,55,55,1667,360,553,781,800,1239,466,317,328,144,467,71,434,674,107,97,76,47,935,24,51,38,48,33,36,30,105,37,16,15,7,8,13,5,0,29
120805,1515,232,106,1853,8,8,355,38,51,135,111,146,44,18,46,15,76,1,88,104,8,15,9,3,206,4,6,3,2,6,3,4,3,2,2,4,1,1,1,0,0,4
120806,13102,2786,1206,17094,73,73,4404,588,693,1034,847,1065,265,283,417,171,331,36,404,456,88,108,139,31,1088,28,73,35,39,41,47,49,22,37,14,19,13,9,192,3,0,33
120807,4109,889,274,5272,23,23,1164,189,187,395,241,422,137,110,154,44,158,15,113,171,28,39,41,18,292,12,16,14,10,12,14,20,36,10,3,10,0,1,25,1,0,7
120808,14511,2568,1345,18424,81,81,3351,758,961,1234,1109,1341,551,463,460,196,624,66,710,625,159,110,115,61,1072,27,82,66,42,70,54,31,32,27,22,15,12,4,11,10,0,40
120901,26975,4705,1981,33661,148,148,7470,2488,1784,2121,2249,2545,1000,666,928,352,526,122,1499,708,115,305,200,127,625,67,152,127,77,73,149,56,45,64,30,23,87,17,28,8,0,142
120902,9494,2150,975,12619,55,55,2639,2081,280,462,904,722,193,121,267,104,351,25,342,104,27,155,62,58,243,51,65,35,23,33,24,17,9,21,7,8,14,7,8,2,0,30
120903,6222,1505,610,8337,37,37,1498,834,308,419,500,971,189,128,133,89,117,42,365,67,65,80,54,20,114,27,43,11,7,20,15,3,4,16,7,13,9,3,4,2,0,45
121001,5072,1416,795,7283,36,36,1032,1092,157,89,348,138,91,26,51,40,425,11,470,308,33,34,24,33,451,28,53,8,7,17,5,11,17,11,14,6,7,9,4,1,0,21
121002,2644,1027,378,4049,20,20,760,432,50,47,205,74,69,24,29,21,150,5,228,241,12,26,9,20,166,4,13,6,2,16,3,2,4,3,0,5,3,2,3,1,0,9
121003,2019,574,245,2838,20,20,338,842,23,15,109,34,24,7,4,26,201,2,136,51,9,15,13,12,88,16,8,1,1,8,1,4,9,4,3,3,1,4,1,1,0,5
121004,1865,600,228,2693,18,18,195,903,35,12,95,22,25,3,6,3,123,2,110,94,7,18,1,50,96,17,5,4,0,6,0,1,9,6,5,4,2,3,0,1,0,2
121101,6585,1804,668,9057,43,43,2740,472,248,387,419,331,162,102,115,43,68,16,375,263,31,33,45,89,407,28,50,16,11,25,16,11,20,19,7,8,4,6,4,2,0,12
121102,1395,405,237,2037,13,13,587,191,23,21,55,32,12,16,7,4,114,0,132,31,7,12,12,12,90,1,12,2,0,5,1,0,4,3,0,1,2,2,1,0,0,3
121103,838,291,77,1206,8,8,373,81,25,17,36,34,23,9,8,13,40,3,37,23,5,2,11,10,38,1,9,1,1,5,1,2,20,2,0,1,1,0,1,0,0,5
121104,1804,870,491,3165,19,19,616,447,26,50,71,64,21,7,17,5,109,0,90,8,11,10,18,16,75,4,34,1,6,8,2,6,53,5,2,5,3,4,2,1,0,7
121201,29026,6801,2516,38343,162,162,4991,3827,1113,1663,3214,1846,610,544,1166,450,965,68,881,783,115,294,340,242,4731,250,217,66,62,121,95,44,28,75,26,30,31,21,11,8,0,98
121202,18262,4269,1769,24300,102,102,2681,4325,521,865,2636,1029,351,325,650,302,528,34,351,293,84,292,150,166,1942,191,135,30,21,69,63,22,23,40,18,32,10,19,5,4,0,55
121203,3412,770,261,4443,19,19,913,417,77,162,337,277,128,64,104,40,130,12,209,113,35,47,28,12,162,23,25,11,5,15,11,9,1,10,3,8,9,4,0,2,0,9
130101,173185,16952,10979,201116,877,877,33810,8913,27491,25673,10541,17882,9705,8041,6427,2526,1501,1096,2866,2948,1386,1470,1869,864,790,441,596,1323,1062,461,1095,392,307,263,236,164,301,113,79,108,0,445
130102,9283,1916,816,12015,54,54,2491,2279,331,441,653,560,285,127,182,91,256,48,243,464,142,98,163,37,41,44,76,28,14,25,24,14,20,10,7,12,17,14,2,12,0,32
130103,7133,761,289,8183,34,34,2219,211,318,891,439,946,361,192,274,89,42,17,68,568,54,47,112,19,40,12,12,24,23,18,49,11,22,6,3,5,9,2,5,4,0,21
130104,1517,167,76,1760,8,8,284,42,219,222,87,163,67,70,50,14,16,17,102,80,8,11,12,4,8,2,0,3,11,4,8,2,0,3,2,1,0,1,3,0,0,1
130105,4784,925,681,6390,29,29,1463,881,239,237,388,358,154,85,100,55,111,40,121,166,52,57,46,28,31,37,24,9,8,22,12,5,14,11,3,5,4,7,6,2,0,3
130106,20797,3089,1303,25189,105,105,8003,744,958,2211,1424,1959,1054,508,506,349,171,98,283,505,187,173,545,66,133,50,216,108,127,116,64,40,28,26,20,26,14,32,4,12,0,37
130107,1393,268,106,1767,8,8,370,204,67,48,124,184,60,20,18,11,25,5,57,51,15,6,45,9,6,5,11,1,1,3,27,0,3,5,1,7,3,1,0,0,0,0
130108,4235,825,285,5345,24,24,1204,687,165,147,388,633,137,46,71,37,95,11,111,134,87,20,56,44,24,13,31,9,7,8,9,16,11,5,4,5,11,3,2,0,0,4
130109,4610,785,497,5892,25,25,1304,532,205,447,303,504,208,103,111,65,86,49,116,100,45,33,178,21,21,10,21,29,7,11,19,7,22,9,3,4,14,7,1,2,0,13
130110,19658,2072,1253,22983,97,97,4408,1012,2802,2544,1194,2299,1030,860,694,278,212,133,421,313,167,197,219,75,98,55,59,115,102,47,89,34,26,37,28,20,18,9,10,13,0,40
