mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_31_000001|MAURICIO CARDENAS SANTAMARIA,cand_31_000002|DAVID ANDRES LUNA SANCHEZ,cand_31_000003|VICTORIA EUGENIA DAVILA HOYOS,cand_31_000004|JUAN MANUEL GALAN PACHON,cand_31_000005|PALOMA SUSANA VALENCIA LASERNA,cand_31_000006|JUAN CARLOS PINZON BUENO,cand_31_000007|ANIBAL GAVIRIA CORREA,cand_31_000008|ENRIQUE PEÑALOSA LONDOÑO,cand_31_000009|JUAN DANIEL OVIEDO ARANGO
0100230,10,10,3330,658,17,70,0,571,3,0,19,4,194,10,260,9,27
0100231,66,66,21449,1584,37,196,0,1351,4,13,34,34,653,17,349,7,35
0100232,40,40,12537,2531,87,131,0,2313,7,6,33,12,1850,15,157,6,94
0100235,74,74,23828,5521,229,173,0,5119,43,14,136,68,3023,74,980,8,331
0100237,94,94,30160,2131,80,289,0,1762,16,11,51,102,969,61,197,26,44
0100238,43,43,13883,2512,106,215,0,2191,5,13,66,42,1431,41,264,13,129
0100241,51,51,16786,3969,153,437,0,3379,12,15,136,41,2367,59,390,19,110
0100244,56,56,17491,4763,155,361,0,4247,15,19,113,55,2528,93,903,10,202
0100247,73,73,22963,2421,132,84,0,2205,7,8,83,53,1303,72,284,5,173
0100250,94,94,29556,6209,325,370,0,5514,16,37,206,76,3172,164,916,32,425
0100253,33,33,9727,1547,57,46,0,1444,15,3,43,14,898,39,227,6,101
0100256,96,96,30949,11205,459,662,0,10084,25,65,337,161,7220,315,498,69,698
0100259,101,101,33157,1806,129,210,0,1467,11,12,68,70,545,29,226,12,117
0100262,97,97,28173,7986,311,703,0,6972,14,33,195,69,5136,148,600,33,266
0100265,45,45,13695,4181,143,361,0,3677,4,5,73,50,2903,33,269,3,122
0100268,47,47,15347,3389,165,335,0,2889,8,10,89,47,1846,51,442,13,149
0100270,81,81,25953,1269,67,265,0,937,10,6,44,50,406,23,94,14,53
0100271,19,19,6186,739,19,29,0,691,2,0,10,14,396,8,92,3,21
0100274,29,29,8829,1524,63,91,0,1370,8,4,40,24,794,152,180,7,73
0100277,15,15,4763,605,32,64,0,509,0,0,8,6,258,8,158,5,12
0100280,301,301,100009,10575,867,2316,0,7392,69,84,340,333,2993,180,730,114,344
0100282,22,22,6847,1058,27,116,0,915,0,1,24,12,649,7,142,4,25
0100283,82,82,26331,4653,182,559,0,3912,8,13,103,54,1835,50,1186,14,163
0100286,39,39,12963,1257,71,281,0,905,7,5,44,15,423,21,214,5,35
0100289,19,19,5781,898,33,38,0,827,2,3,12,7,566,10,167,3,20
0100290,40,40,12450,1997,50,273,0,1674,3,5,56,33,809,23,547,6,71
0100291,26,25,6970,1161,47,399,0,715,0,2,24,9,122,31,326,4,4
0100292,37,37,11608,2303,83,201,0,2019,7,10,54,41,1383,58,210,13,76
0100293,21,21,6520,871,22,118,0,731,3,1,27,18,385,23,178,5,24
0100295,115,115,35886,4201,141,146,0,3914,15,27,118,57,2243,97,642,24,315
0100298,55,55,17481,2675,85,240,0,2350,9,9,59,35,1209,50,631,27,95
0100300,52,52,16144,2160,180,236,0,1744,4,20,88,70,818,55,102,29,154
0100301,69,69,22036,1503,86,265,0,1152,10,92,60,52,360,21,233,9,35
0300001,3648,3647,1191452,222868,24851,26941,0,171076,1744,12389,7856,11326,65417,5755,869,4309,23580
0300004,165,165,53287,7259,701,1469,0,5089,32,305,299,436,1366,132,37,149,592
0300007,74,74,23740,1527,104,239,0,1184,7,45,43,76,653,82,2,13,66
0300010,46,46,14846,1486,107,455,0,924,9,47,53,63,375,22,3,23,43
0300013,143,143,46123,6679,780,1582,0,4317,41,219,280,487,1264,141,35,128,462
0300016,60,60,19563,2946,251,618,0,2077,16,197,112,122,783,41,12,46,181
0300019,80,80,26578,1635,106,335,0,1194,22,49,50,80,466,31,16,37,94
0300022,292,292,95348,12563,1769,2968,0,7826,80,413,592,764,2072,221,50,236,776
0300025,52,52,17149,1137,51,225,0,861,4,41,40,66,357,35,3,24,66
0300028,73,73,23802,2790,289,804,0,1697,29,134,109,115,386,34,6,47,198
0300031,19,19,5949,873,47,313,0,513,3,24,20,30,233,11,1,4,41
0300034,46,46,15079,1566,156,431,0,979,10,54,50,105,255,16,3,25,102
0300035,63,63,21208,2101,239,457,0,1405,19,76,81,110,516,35,6,38,109
0300037,121,121,39265,7995,780,1223,0,5992,57,383,263,468,1912,157,26,152,871
0300040,70,70,22515,1664,133,369,0,1162,14,57,97,107,340,31,12,34,87
0300043,81,81,26445,3414,415,779,0,2220,17,187,156,167,592,68,12,74,285
0300046,236,236,76785,12272,1431,2548,0,8293,77,536,459,641,2436,206,44,190,689
0300047,41,41,13524,825,57,122,0,646,11,13,35,45,356,15,1,9,21
0300049,87,87,27778,3383,331,434,0,2618,161,214,82,136,702,51,2,34,303
0300052,1049,1049,340919,44809,5717,7525,0,31567,488,1741,1889,2574,9541,1051,213,853,3816
0300055,36,36,11925,868,44,177,0,647,10,33,24,51,248,21,2,30,66
0300058,35,35,10767,809,98,134,0,577,6,25,37,39,167,19,6,13,81
0300061,28,28,9088,785,89,161,0,535,3,30,45,61,145,10,3,8,45
0500001,2641,2641,865352,130969,14631,19723,0,96615,1172,3582,4793,6083,41959,2693,693,2200,10454
0500004,63,63,18977,2581,56,507,0,2018,9,17,86,58,1292,21,9,15,59
0500005,25,25,7059,346,20,58,0,268,0,3,10,11,155,10,0,4,20
0500006,27,27,8527,359,8,83,0,268,0,8,14,7,182,4,1,1,9
0500007,175,175,60230,5774,675,1329,0,3770,46,135,171,272,1724,79,25,73,310
0500009,33,33,10528,476,18,61,0,397,6,32,16,25,205,10,1,8,24
0500010,41,41,13138,703,34,116,0,553,2,2,29,26,316,10,2,5,18
0500013,64,64,21137,1256,109,236,0,911,0,0,0,0,0,0,0,0,0
0500014,26,26,8337,805,74,190,0,541,2,7,38,26,249,24,4,6,38
0500015,36,36,11730,595,38,88,0,469,0,6,25,17,204,9,1,5,37
0500016,49,49,15570,1816,79,609,0,1128,11,18,58,49,626,22,5,11,47
0500018,41,41,13098,1132,86,320,0,726,11,18,29,38,386,24,3,15,32
0500022,197,197,62634,6151,516,725,0,4910,25,83,147,186,2737,93,37,51,225
0500025,28,28,8386,955,28,300,0,627,4,22,30,25,363,13,2,8,24
0500026,39,39,12501,827,36,122,0,669,1,9,34,8,523,4,1,7,16
0500027,22,22,6872,402,13,37,0,352,1,3,14,7,196,9,0,1,5
0500028,322,322,106180,12500,1363,2519,0,8618,102,255,500,508,4028,165,58,127,714
0500031,69,69,23021,2167,136,634,0,1397,32,23,63,102,730,38,9,23,56
0500037,35,35,10645,479,20,24,0,435,1,1,15,19,307,19,0,4,16
0500040,142,141,45577,3111,290,909,0,1912,17,36,72,160,870,46,17,42,78
0500041,38,38,10814,1025,31,237,0,757,3,3,17,28,255,13,8,7,25
0500043,130,130,40405,3280,257,631,0,2392,9,50,107,142,1281,56,7,33,167
0500044,44,44,13126,877,62,137,0,678,8,13,36,28,454,23,1,9,25
0500050,20,20,5332,188,11,17,0,160,1,0,6,17,75,5,2,8,13
0500059,66,66,19357,998,36,170,0,792,3,3,43,23,572,15,3,11,17
0500063,20,20,5710,237,25,40,0,172,0,2,8,5,118,2,1,3,9
0500065,25,25,7079,493,34,37,0,422,4,0,22,7,230,10,0,6,11
0500070,49,49,16593,1020,85,192,0,743,5,31,37,39,394,22,1,16,49
0500072,25,25,8168,493,68,94,0,331,2,13,15,18,143,13,2,12,38
0500073,36,36,10290,389,22,60,0,307,4,5,12,17,181,9,0,1,28
0500076,72,72,22377,2213,224,291,0,1698,10,41,53,74,986,35,10,20,130
0500078,25,25,7533,657,17,124,0,516,3,9,15,59,297,9,4,6,14
0500079,105,105,33286,3250,273,543,0,2434,26,95,83,126,1398,62,13,19,214
0500082,41,41,13104,784,39,153,0,592,0,12,17,25,356,14,1,7,23
0500084,68,68,21201,1582,99,326,0,1157,7,19,69,65,553,43,5,18,112
0500091,43,43,14322,902,74,249,0,579,7,17,25,108,205,10,3,11,32
0500094,53,53,17470,1300,117,333,0,850,6,10,35,100,273,22,4,23,44
0500095,89,89,27650,4298,271,694,0,3333,12,98,267,201,1859,133,22,55,190
0500097,51,51,14135,1312,99,249,0,964,5,9,87,47,508,47,6,13,62
0500106,27,27,9016,692,72,175,0,445,6,17,20,25,185,7,2,11,21
0500110,35,35,10684,1018,49,167,0,802,6,18,37,21,506,17,0,12,40
0500113,52,52,15502,730,38,166,0,526,3,7,16,35,335,11,0,7,20
0500118,220,220,76485,11375,1568,2116,0,7691,55,280,308,602,3297,191,51,138,776
0500121,53,53,17049,1608,162,424,0,1022,4,22,44,65,417,35,7,31,98
0500124,55,55,17795,1739,162,440,0,1137,2,24,61,80,583,27,5,27,59
0500127,32,32,10186,427,33,185,0,209,0,13,2,7,106,2,0,3,6
0700001,424,424,141698,47115,3695,1253,0,42167,486,475,1422,1994,11640,2517,174,1099,13000
0700007,7,7,2014,270,14,14,0,242,1,4,5,7,135,12,0,6,41
0700008,47,47,13225,1871,131,178,0,1562,11,10,63,55,897,114,8,25,173
0700010,16,16,5254,742,51,25,0,666,2,3,23,14,277,36,2,12,189
0700013,22,22,7090,1873,133,111,0,1629,20,17,70,113,705,85,5,68,256
0700016,5,5,1509,299,11,33,0,255,0,1,2,11,162,10,1,1,28
0700019,7,7,1976,458,26,33,0,399,3,1,17,48,192,10,2,12,41
0700022,17,17,5047,1221,74,107,0,1040,2,9,45,24,679,36,4,14,73
0700025,14,14,4600,757,50,87,0,620,15,6,23,41,247,44,1,8,88
0700028,8,8,2497,539,20,41,0,478,2,3,10,5,351,15,3,12,33
0700031,17,17,5079,1064,50,115,0,899,1,3,26,37,606,19,2,7,103
0700034,4,4,1010,300,15,23,0,262,0,0,15,8,150,8,1,17,34
0700037,13,13,3292,581,32,18,0,531,1,8,18,29,276,27,0,7,85
0700040,9,9,2454,437,18,23,0,396,1,1,7,3,288,31,3,8,23
0700043,12,12,3685,699,39,22,0,638,29,41,24,20,241,34,2,7,104
0700046,12,12,3947,883,35,81,0,767,17,10,24,36,447,34,3,8,89
0700049,32,32,10139,2447,218,170,0,2059,19,23,165,147,635,118,6,42,325
0700052,13,13,3291,581,32,80,0,469,2,1,18,7,352,18,1,1,28
0700055,8,8,2424,761,46,46,0,669,7,8,19,23,361,26,1,11,113
0700058,12,12,3433,793,13,78,0,702,4,2,16,8,587,22,1,5,20
0700059,23,23,7044,608,61,120,0,427,11,7,21,41,181,13,5,7,46
0700060,11,11,3473,743,66,63,0,614,1,4,27,31,174,30,3,14,101
0700061,6,6,1904,486,23,40,0,423,4,1,8,24,222,39,2,8,45
0700064,10,10,3145,799,42,60,0,697,9,5,16,20,391,52,3,8,94
0700067,139,139,44576,11704,938,552,0,10214,84,179,418,432,4301,518,24,206,2206
0700068,16,16,4800,844,87,124,0,633,7,5,32,78,138,12,4,18,52
0700070,11,11,3319,727,38,98,0,591,2,6,17,27,428,6,1,5,35
0700073,24,24,6500,1123,44,129,0,950,4,6,8,20,799,9,2,5,32
0700076,19,19,5881,1242,35,79,0,1128,9,21,11,14,891,12,4,10,57
0700077,10,10,3338,817,53,62,0,702,1,3,50,75,204,54,6,25,116
0700078,7,7,1851,548,25,43,0,480,4,5,21,15,356,11,0,4,31
0700079,287,287,97678,29314,2333,911,0,26070,335,255,852,1335,8905,1537,121,532,6694
0700082,12,12,3486,706,31,74,0,601,7,3,14,31,429,15,5,7,34
0700085,8,8,2289,701,16,44,0,641,3,2,20,9,537,15,0,2,24
0700088,20,20,6131,1345,113,124,0,1108,9,9,43,59,396,71,8,18,174
0700091,12,12,3561,1003,39,34,0,930,2,6,33,20,525,61,1,7,148
0700094,10,10,3056,557,57,48,0,452,2,7,12,17,270,5,0,6,55
0700097,14,14,4125,1063,40,95,0,928,7,6,38,27,555,53,3,9,99
0700100,41,41,12682,3207,225,185,0,2797,29,31,96,139,1072,163,18,53,628
0700103,5,5,1616,473,27,44,0,402,2,3,10,5,321,6,0,2,34
0700106,29,29,9329,2279,170,143,0,1966,26,18,88,139,756,102,11,46,444
0700109,12,12,3949,961,43,59,0,859,15,8,25,21,574,27,4,9,84
0700112,12,12,3173,487,23,41,0,423,3,1,13,16,312,12,1,1,24
0700118,7,7,2320,626,32,37,0,557,1,1,15,21,291,39,2,7,105
0700121,20,20,6452,1309,77,125,0,1107,9,11,42,74,486,67,2,22,210
0700124,12,12,3436,785,19,125,0,641,2,6,13,13,504,21,3,13,32
0700127,10,10,3185,562,24,72,0,466,0,2,14,10,343,11,2,7,32
0700130,8,8,2517,427,21,37,0,369,4,5,16,15,155,31,6,13,50
0700136,9,9,2512,701,25,54,0,622,6,2,9,18,437,28,0,6,41
0700137,7,7,1631,279,13,16,0,250,0,0,5,4,154,7,1,3,42
0700139,42,42,13752,3559,272,163,0,3124,44,36,91,202,1353,123,24,111,610
0700142,12,12,3677,826,56,83,0,687,10,7,26,20,329,44,3,17,100
0700148,20,20,6078,1311,50,131,0,1130,5,3,23,20,915,24,0,7,53
0700151,24,24,7765,1548,131,154,0,1263,8,15,47,88,498,62,9,35,232
0700154,13,13,4176,1186,67,68,0,1051,3,5,24,16,800,52,2,5,67
0700157,13,13,4026,900,87,60,0,753,5,6,48,23,392,38,0,14,118
0700160,61,61,19917,4761,374,261,0,4126,24,43,135,202,2103,199,21,78,530
0700161,19,19,5886,1302,163,117,0,1022,3,11,40,116,306,75,6,18,156
0700163,26,26,7704,1461,99,183,0,1179,3,9,52,41,701,47,5,28,117
0700166,42,42,13741,3608,322,189,0,3097,22,57,118,157,894,178,8,60,784
0700169,15,15,4998,723,66,66,0,591,5,4,14,59,249,26,5,13,98
0700173,9,9,2888,795,61,51,0,683,2,4,31,38,237,39,4,19,123
0700176,28,28,7253,1568,59,130,0,1379,2,9,34,12,948,86,3,22,88
0700178,6,6,1979,467,27,35,0,405,4,3,14,10,245,22,1,4,49
0700179,9,9,2450,561,26,59,0,476,2,0,11,17,354,15,4,5,28
0700181,95,95,30521,8514,611,353,0,7550,73,86,222,663,2733,399,44,177,1614
0700184,7,7,1779,334,18,35,0,281,1,0,11,10,203,9,0,2,25
0700187,5,5,1607,409,5,21,0,383,2,1,7,8,262,26,0,20,35
0700190,23,23,7067,1697,74,144,0,1479,6,4,35,38,1060,26,2,9,139
0700193,7,7,1749,255,11,28,0,216,2,0,6,1,153,11,1,1,22
0700199,14,14,4127,654,51,27,0,576,5,4,7,31,229,23,2,5,117
0700202,21,21,6588,1402,84,117,0,1201,6,15,70,102,541,72,8,24,151
0700205,4,4,1261,254,10,43,0,201,0,2,3,6,159,6,0,0,6
0700214,125,125,39982,9531,991,988,0,7552,49,63,277,259,4485,168,68,111,608
0700215,18,18,5141,1100,48,132,0,920,2,6,30,23,695,23,4,6,47
0700217,30,30,9526,2387,154,225,0,2008,15,16,136,104,909,90,4,52,332
0700220,18,18,5564,1241,120,100,0,1021,10,8,70,63,464,49,3,15,116
0700223,8,8,2314,476,20,40,0,416,4,2,11,17,266,17,0,2,42
0700226,36,36,10709,1453,110,95,0,1248,3,25,22,51,695,77,13,7,148
0700232,14,14,4348,1062,77,82,0,903,8,14,29,46,294,34,3,28,133
0700235,50,50,16357,3597,310,282,0,3005,27,41,125,233,866,115,15,72,632
0700237,5,5,1552,194,6,11,0,177,2,2,2,9,86,9,0,4,29
0700238,19,19,5642,1275,43,88,0,1144,10,2,24,46,840,22,4,10,61
0700241,16,16,4281,959,53,51,0,855,8,11,12,29,638,22,1,11,62
0700247,11,11,3606,1058,33,79,0,946,3,6,18,17,656,33,3,7,114
0700248,9,9,2910,771,58,35,0,678,6,7,30,135,285,43,4,10,68
0700249,20,20,6103,1519,60,131,0,1328,6,1,34,25,1033,31,6,13,65
0700250,23,23,7368,1385,68,92,0,1225,5,29,43,67,783,44,2,8,107
0700251,12,12,3202,621,63,52,0,506,7,5,15,20,233,17,3,12,77
0700253,28,28,8921,2934,211,154,0,2569,75,18,117,117,1122,172,16,63,409
