mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_32_000001|HECTOR ELIAS PINEDA SALAZAR,cand_32_000002|EDISON LUCIO TORRES MORENO,cand_32_000003|ROY LEONARDO BARRERAS MONTEALEGRE,cand_32_000004|MARTHA VIVIANA BERNAL AMAYA,cand_32_000005|DANIEL QUINTERO CALLE
0100229,44,44,13800,3269,175,397,0,2697,6,14,30,8,87
0100230,10,10,3330,658,17,70,0,571,0,1,6,3,17
0100231,66,66,21449,1584,37,196,0,1351,6,15,25,4,68
0100232,40,40,12537,2531,87,131,0,2313,3,5,17,5,53
0100235,74,74,23828,5521,229,173,0,5119,7,4,33,13,102
0100237,94,94,30160,2131,80,289,0,1762,3,14,59,7,82
0100238,43,43,13883,2512,106,215,0,2191,1,9,14,11,65
0100241,51,51,16786,3969,153,437,0,3379,4,10,34,7,77
0100244,56,56,17491,4763,155,361,0,4247,4,9,36,17,87
0100247,73,73,22963,2421,132,84,0,2205,4,6,45,10,89
0100250,94,94,29556,6209,325,370,0,5514,3,12,34,24,147
0100253,33,33,9727,1547,57,46,0,1444,0,4,32,4,22
0100256,96,96,30949,11205,459,662,0,10084,14,25,104,41,195
0100259,101,101,33157,1806,129,210,0,1467,6,19,33,13,205
0100262,97,97,28173,7986,311,703,0,6972,12,15,27,29,117
0100265,45,45,13695,4181,143,361,0,3677,4,9,38,11,95
0100268,47,47,15347,3389,165,335,0,2889,8,11,18,15,74
0100270,81,81,25953,1269,67,265,0,937,6,22,57,9,78
0100271,19,19,6186,739,19,29,0,691,1,0,6,2,129
0100274,29,29,8829,1524,63,91,0,1370,0,8,10,9,31
0100277,15,15,4763,605,32,64,0,509,1,4,17,3,17
0100280,301,301,100009,10575,867,2316,0,7392,67,191,364,73,592
0100282,22,22,6847,1058,27,116,0,915,4,4,4,3,19
0100283,82,82,26331,4653,182,559,0,3912,8,13,187,27,93
0100286,39,39,12963,1257,71,281,0,905,2,8,28,8,41
0100289,19,19,5781,898,33,38,0,827,1,1,4,1,9
0100290,40,40,12450,1997,50,273,0,1674,3,6,11,5,59
0100291,26,25,6970,1161,47,399,0,715,0,8,10,65,86
0100292,37,37,11608,2303,83,201,0,2019,9,2,35,9,50
0100293,21,21,6520,871,22,118,0,731,1,5,13,7,21
0100295,115,115,35886,4201,141,146,0,3914,6,12,83,13,108
0100298,55,55,17481,2675,85,240,0,2350,5,9,28,15,72
0100300,52,52,16144,2160,180,236,0,1744,8,20,142,16,104
0100301,69,69,22036,1503,86,265,0,1152,7,21,53,11,85
0300001,3648,3647,1191452,222868,24851,26941,0,171076,1369,2191,9841,1221,8807
0300004,165,165,53287,7259,701,1469,0,5089,48,110,642,38,274
0300007,74,74,23740,1527,104,239,0,1184,5,8,51,5,38
0300010,46,46,14846,1486,107,455,0,924,8,18,91,8,76
0300013,143,143,46123,6679,780,1582,0,4317,55,101,213,45,296
0300016,60,60,19563,2946,251,618,0,2077,22,30,196,22,99
0300019,80,80,26578,1635,106,335,0,1194,6,34,100,10,75
0300022,292,292,95348,12563,1769,2968,0,7826,126,303,548,98,526
0300025,52,52,17149,1137,51,225,0,861,8,14,44,7,33
0300028,73,73,23802,2790,289,804,0,1697,20,70,161,21,130
0300031,19,19,5949,873,47,313,0,513,5,10,54,4,28
