mpio_reg_code_7,votantes,votos_validos,votos_blanco,votos_nulos,votos_no_marcados,mesas_total,mesas_escrutadas,indig_0006,indig_0011,indig_0188,indig_0234,indig_0237,indig_0252,indig_0285,indig_0300,indig_0306,indig_0347
0100205,173,98,47,23,52,114,114,0,0,0,0,0,0,0,0,0,0
0100206,29,4,2,12,13,47,47,0,0,0,0,0,0,0,0,0,0
0100208,123,62,30,16,45,75,75,0,0,0,0,0,0,0,0,0,0
0100211,84,15,14,12,57,67,67,0,0,0,0,0,0,0,0,0,0
0100214,773,531,206,104,138,390,390,0,0,0,0,0,0,0,0,0,0
0100217,9,4,4,5,0,26,26,0,0,0,0,0,0,0,0,0,0
0100218,347,209,169,85,53,297,297,0,0,0,0,0,0,0,0,0,0
0100220,17,1,1,4,12,46,46,0,0,0,0,0,0,0,0,0,0
0100223,16,6,6,2,8,22,22,0,0,0,0,0,0,0,0,0,0
0100226,55,54,0,1,0,50,50,0,0,0,0,0,0,0,0,0,0
0100227,1,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0
0100229,58,12,8,29,17,44,44,0,0,0,0,0,0,0,0,0,0
0100230,8,2,2,4,2,10,10,0,0,0,0,0,0,0,0,0,0
0100231,240,144,15,33,63,66,66,0,0,0,0,0,0,0,0,0,0
0100232,23,4,4,5,14,40,40,0,0,0,0,0,0,0,0,0,0
0100235,91,42,40,20,29,74,74,0,0,0,0,0,0,0,0,0,0
0100237,117,44,23,18,55,94,92,1,13,5,0,1,0,0,0,0,1
0100238,47,8,5,14,25,43,43,0,0,0,0,0,0,0,0,0,0
0100241,23,3,1,8,12,51,51,0,0,0,0,0,0,0,0,0,0
0100244,41,9,1,10,22,56,56,0,0,0,0,0,0,0,0,0,0
0100247,48,16,11,12,20,73,73,0,0,0,0,0,0,0,0,0,0
0100250,42,18,16,7,17,94,94,0,0,0,0,0,0,0,0,0,0
0100253,110,16,14,29,65,33,33,0,0,0,0,0,0,0,0,0,0
0100256,91,32,31,16,43,96,95,1,0,0,0,0,0,0,0,0,0
0100259,153,81,44,32,40,101,100,4,17,4,0,1,1,6,1,2,1
0100262,87,17,17,20,50,97,97,0,0,0,0,0,0,0,0,0,0
0100265,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0
0100268,128,66,9,14,48,47,47,0,0,0,0,0,0,0,0,0,0
0100270,149,19,16,21,109,81,81,0,0,0,0,0,0,0,0,0,0
0100271,14,9,9,3,2,19,19,0,0,0,0,0,0,0,0,0,0
0100274,51,18,18,17,16,29,29,0,0,0,0,0,0,0,0,0,0
0100277,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
0100280,1147,527,277,187,433,301,297,12,153,30,2,0,2,22,11,9,9
0100282,18,9,2,2,7,22,22,0,0,0,0,0,0,0,0,0,0
0100283,332,273,15,26,33,82,82,0,0,0,0,0,0,0,0,0,0
0100286,1,1,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0
0100289,133,118,12,7,8,19,19,0,0,0,0,0,0,0,0,0,0
0100290,38,19,11,3,16,40,40,0,0,0,0,0,0,0,0,0,0
0100291,246,119,25,40,87,26,23,0,80,0,1,1,1,1,2,8,0
0100292,23,10,9,3,10,37,37,0,0,0,0,0,0,0,0,0,0
0100293,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0
0100295,85,35,33,28,22,115,115,0,0,0,0,0,0,0,0,0,0
0100298,53,26,12,8,19,55,55,0,0,0,0,0,0,0,0,0,0
0100300,67,42,17,15,10,52,52,0,0,0,0,0,0,0,0,0,0
0100301,178,83,31,32,63,69,69,0,0,0,0,0,0,0,0,0,0
0300001,24273,18505,3977,2328,3440,3648,3606,11500,917,501,112,76,102,758,319,160,83
0300004,700,550,83,65,85,165,156,412,21,4,1,1,1,20,5,0,2
0300007,292,77,53,92,123,74,69,6,6,2,0,0,1,3,3,2,1
0300010,109,72,5,23,14,46,42,62,2,1,0,0,0,2,0,0,0
0300013,610,431,131,89,90,143,139,207,58,13,1,10,0,7,1,3,0
0300016,121,36,27,36,49,60,59,4,3,1,0,0,0,1,0,0,0
0300019,549,434,16,70,45,80,78,356,13,18,3,1,2,14,2,9,0
0300022,2645,2004,311,367,274,292,276,464,1137,20,3,4,10,32,10,4,9
0300025,105,15,11,63,27,52,51,3,1,0,0,0,0,0,0,0,0
0300028,728,613,30,66,49,73,69,537,9,2,0,0,0,29,4,1,1
0300031,57,6,2,25,26,19,17,1,2,0,0,0,0,0,0,1,0
0300034,310,240,29,39,31,46,38,194,0,1,0,0,0,13,2,0,1
0300035,239,86,15,78,75,63,55,62,1,2,0,0,0,1,1,2,2
0300037,756,653,77,44,59,121,117,385,161,9,0,2,2,12,3,1,1
0300040,570,393,46,108,69,70,62,299,13,6,0,0,11,14,1,2,1
0300043,329,249,13,33,47,81,80,193,20,6,1,2,0,5,2,6,1
0300046,2923,2570,135,182,171,236,221,2123,162,23,4,2,5,53,14,46,3
0300047,408,278,14,77,53,41,37,249,3,2,0,0,0,8,1,1,0
0300049,357,238,66,83,36,87,84,151,9,2,0,0,0,5,2,1,2
