mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
0100220,0100,ANTIOQUIA,SALGAR,False,14478,46
0100223,0100,ANTIOQUIA,SAN ANDRES,False,5915,22
0100226,0100,ANTIOQUIA,SAN CARLOS,False,15668,50
0100227,0100,ANTIOQUIA,SAN FRANCISCO,False,6792,21
0100229,0100,ANTIOQUIA,SAN JERONIMO,False,13800,44
0100230,0100,ANTIOQUIA,SAN JOSE DE LA MONTAÑA,False,3330,10
0100231,0100,ANTIOQUIA,SAN JUAN DE URABA,False,21449,66
0100232,0100,ANTIOQUIA,SAN LUIS,False,12537,40
0100235,0100,ANTIOQUIA,SAN PEDRO,False,23828,74
0100237,0100,ANTIOQUIA,SAN PEDRO DE URABA,False,30160,94
0100238,0100,ANTIOQUIA,SAN RAFAEL,False,13883,43
0100241,0100,ANTIOQUIA,SAN ROQUE,False,16786,51
0100244,0100,ANTIOQUIA,SAN VICENTE,False,17491,56
0100247,0100,ANTIOQUIA,SANTA BARBARA,False,22963,73
0100250,0100,ANTIOQUIA,SANTA ROSA DE OSOS,False,29556,94
0100253,0100,ANTIOQUIA,SANTO DOMINGO,False,9727,33
0100256,0100,ANTIOQUIA,SANTUARIO,False,30949,96
0100259,0100,ANTIOQUIA,SEGOVIA,False,33157,101
0100262,0100,ANTIOQUIA,SONSON,False,28173,97
0100265,0100,ANTIOQUIA,SOPETRAN,False,13695,45
0100268,0100,ANTIOQUIA,TAMESIS,False,15347,47
0100270,0100,ANTIOQUIA,TARAZA,False,25953,81
0100271,0100,ANTIOQUIA,TARSO,False,6186,19
0100274,0100,ANTIOQUIA,TITIRIBI,False,8829,29
0100277,0100,ANTIOQUIA,TOLEDO,False,4763,15
0100280,0100,ANTIOQUIA,TURBO,False,100009,301
0100282,0100,ANTIOQUIA,URAMITA,False,6847,22
0100283,0100,ANTIOQUIA,URRAO,False,26331,82
0100286,0100,ANTIOQUIA,VALDIVIA,False,12963,39
0100289,0100,ANTIOQUIA,VALPARAISO,False,5781,19
0100290,0100,ANTIOQUIA,VEGACHI,False,12450,40
0100291,0100,ANTIOQUIA,VIGIA DEL FUERTE,False,6970,26
0100292,0100,ANTIOQUIA,VENECIA,False,11608,37
0100293,0100,ANTIOQUIA,YALI,False,6520,21
0100295,0100,ANTIOQUIA,YARUMAL,False,35886,115
0100298,0100,ANTIOQUIA,YOLOMBO,False,17481,55
0100300,0100,ANTIOQUIA,YONDO-CASABE,False,16144,52
0100301,0100,ANTIOQUIA,ZARAGOZA,False,22036,69
0300001,0300,ATLANTICO,BARRANQUILLA,False,1191452,3648
0300004,0300,ATLANTICO,BARANOA,False,53287,165
0300007,0300,ATLANTICO,CAMPO DE LA CRUZ,False,23740,74
0300010,0300,ATLANTICO,CANDELARIA,False,14846,46
0300013,0300,ATLANTICO,GALAPA,False,46123,143
0300016,0300,ATLANTICO,JUAN DE ACOSTA,False,19563,60
0300019,0300,ATLANTICO,LURUACO,False,26578,80
0300022,0300,ATLANTICO,MALAMBO,False,95348,292
0300025,0300,ATLANTICO,MANATI,False,17149,52
0300028,0300,ATLANTICO,PALMAR DE VARELA,False,23802,73
0300031,0300,ATLANTICO,PIOJO,False,5949,19
0300034,0300,ATLANTICO,POLONUEVO,False,15079,46
0300035,0300,ATLANTICO,PONEDERA,False,21208,63
0300037,0300,ATLANTICO,PUERTO COLOMBIA,False,39265,121
0300040,0300,ATLANTICO,REPELON,False,22515,70
0300043,0300,ATLANTICO,SABANAGRANDE,False,26445,81
0300046,0300,ATLANTICO,SABANALARGA,False,76785,236
0300047,0300,ATLANTICO,SANTA LUCIA,False,13524,41
0300049,0300,ATLANTICO,SANTO TOMAS,False,27778,87
0300052,0300,ATLANTICO,SOLEDAD,False,340919,1049
0300055,0300,ATLANTICO,SUAN,False,11925,36
0300058,0300,ATLANTICO,TUBARA,False,10767,35
0300061,0300,ATLANTICO,USIACURI,False,9088,28
0500001,0500,BOLIVAR,CARTAGENA,False,865352,2641
0500004,0500,BOLIVAR,ACHI,False,18977,63
0500005,0500,BOLIVAR,ARENAL,False,7059,25
0500006,0500,BOLIVAR,ALTOS DEL ROSARIO,False,8527,27
0500007,0500,BOLIVAR,ARJONA,False,60230,175
0500009,0500,BOLIVAR,ARROYO HONDO,False,10528,33
0500010,0500,BOLIVAR,BARRANCO DE LOBA,False,13138,41
0500013,0500,BOLIVAR,CALAMAR,False,21137,64
0500014,0500,BOLIVAR,CANTAGALLO,False,8337,26
0500015,0500,BOLIVAR,CICUCO,False,11730,36
0500016,0500,BOLIVAR,CORDOBA,False,15570,49
0500018,0500,BOLIVAR,CLEMENCIA,False,13098,41
0500022,0500,BOLIVAR,EL CARMEN DE BOLIVAR,False,62634,197
0500025,0500,BOLIVAR,EL GUAMO,False,8386,28
0500026,0500,BOLIVAR,HATILLO DE LOBA,False,12501,39
0500027,0500,BOLIVAR,EL PEÑON,False,6872,22
0500028,0500,BOLIVAR,MAGANGUE,False,106180,322
0500031,0500,BOLIVAR,MAHATES,False,23021,69
0500037,0500,BOLIVAR,MARGARITA,False,10645,35
0500040,0500,BOLIVAR,MARIA LA BAJA,False,45577,142
0500041,0500,BOLIVAR,MONTECRISTO,False,10814,38
0500043,0500,BOLIVAR,MOMPOS,False,40405,130
0500044,0500,BOLIVAR,MORALES,False,13126,44
0500050,0500,BOLIVAR,NOROSI,False,5332,20
0500059,0500,BOLIVAR,PINILLOS,False,19357,66
0500063,0500,BOLIVAR,REGIDOR,False,5710,20
0500065,0500,BOLIVAR,RIOVIEJO,False,7079,25
0500070,0500,BOLIVAR,SAN ESTANISLAO,False,16593,49
0500072,0500,BOLIVAR,SAN CRISTOBAL,False,8168,25
0500073,0500,BOLIVAR,SAN FERNANDO,False,10290,36
0500076,0500,BOLIVAR,SAN JACINTO,False,22377,72
0500078,0500,BOLIVAR,SAN JACINTO DEL CAUCA,False,7533,25
0500079,0500,BOLIVAR,SAN JUAN NEPOMUCENO,False,33286,105
0500082,0500,BOLIVAR,SAN MARTIN DE LOBA,False,13104,41
0500084,0500,BOLIVAR,SAN PABLO,False,21201,68
0500091,0500,BOLIVAR,SANTA CATALINA,False,14322,43
0500094,0500,BOLIVAR,SANTA ROSA,False,17470,53
0500095,0500,BOLIVAR,SANTA ROSA DEL SUR,False,27650,89
0500097,0500,BOLIVAR,SIMITI,False,14135,51
0500106,0500,BOLIVAR,SOPLAVIENTO,False,9016,27
0500110,0500,BOLIVAR,TALAIGUA NUEVO,False,10684,35
0500113,0500,BOLIVAR,TIQUISIO (PTO. RICO),False,15502,52
0500118,0500,BOLIVAR,TURBACO,False,76485,220
0500121,0500,BOLIVAR,TURBANA,False,17049,53
0500124,0500,BOLIVAR,VILLANUEVA,False,17795,55
0500127,0500,BOLIVAR,ZAMBRANO,False,10186,32
0700001,0700,BOYACA,TUNJA,False,141698,424
0700007,0700,BOYACA,ALMEIDA,False,2014,7
0700008,0700,BOYACA,AQUITANIA (PUEBLOVIEJO),False,13225,47
0700010,0700,BOYACA,ARCABUCO,False,5254,16
0700013,0700,BOYACA,BELEN,False,7090,22
0700016,0700,BOYACA,BERBEO,False,1509,5
0700019,0700,BOYACA,BETEITIVA,False,1976,7
0700022,0700,BOYACA,BOAVITA,False,5047,17
0700025,0700,BOYACA,BOYACA,False,4600,14
0700028,0700,BOYACA,BRICEÑO,False,2497,8
0700031,0700,BOYACA,BUENAVISTA,False,5079,17
0700034,0700,BOYACA,BUSBANZA,False,1010,4
0700037,0700,BOYACA,CALDAS,False,3292,13
0700040,0700,BOYACA,CAMPOHERMOSO,False,2454,9
0700043,0700,BOYACA,CERINZA,False,3685,12
0700046,0700,BOYACA,CIENEGA,False,3947,12
0700049,0700,BOYACA,COMBITA,False,10139,32
0700052,0700,BOYACA,COPER,False,3291,13
0700055,0700,BOYACA,CORRALES,False,2424,8
0700058,0700,BOYACA,COVARACHIA,False,3433,12
