mesa_code,puesto_code,mesa_num,num_mesas,censo,puesto_name,zona_code,zona_name,mpio_reg_code_7,mpio_name,dept_reg_code,dept_name,is_exterior
1600001040028000022,1600001040028,22,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000023,1600001040028,23,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000024,1600001040028,24,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000025,1600001040028,25,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000026,1600001040028,26,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000027,1600001040028,27,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000028,1600001040028,28,1,340,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000029,1600001040028,29,1,105,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001040028000030,1600001040028,30,1,104,20 DE JULIO SEDE A,160000104,ZONA04,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000001,1600001060003,1,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000002,1600001060003,2,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000003,1600001060003,3,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000004,1600001060003,4,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000005,1600001060003,5,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000006,1600001060003,6,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000007,1600001060003,7,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000008,1600001060003,8,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000009,1600001060003,9,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000010,1600001060003,10,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000011,1600001060003,11,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000012,1600001060003,12,1,340,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
1600001060003000013,1600001060003,13,1,173,ABRAHAM LINCOLN,160000106,ZONA06,1600001,BOGOTA. D.C.,1600,BOGOTA D.C.,False
2800048990090000001,2800048990090,1,1,264,ABRE EL OJO,280004899,ZONA99,2800048,GALERAS (NUEVA GRANADA),2800,SUCRE,False
1300014990001000001,1300014990001,1,1,370,ABROJAL,130001499,ZONA99,1300014,COTORRA (BONGO),1300,CORDOBA,False
1300014990001000002,1300014990001,2,1,370,ABROJAL,130001499,ZONA99,1300014,COTORRA (BONGO),1300,CORDOBA,False
1300014990001000003,1300014990001,3,1,267,ABROJAL,130001499,ZONA99,1300014,COTORRA (BONGO),1300,CORDOBA,False
3100001020005000001,3100001020005,1,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000002,3100001020005,2,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000003,3100001020005,3,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000004,3100001020005,4,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000005,3100001020005,5,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
