ubigeo,departamento,provincia,distrito,electores,area_km2,population_density,keiko_2021_share,castillo_2021_share,rural,agua,trabajo,sis,educacion,pobreza
40107,Arequipa,Arequipa,Miraflores,52350.0,26.1837,1999.3355,40.2395,59.7605,0.0,95.559,47.8393,17.8481,75.9912,3.9616759999999998
40108,Arequipa,Arequipa,Mollebaya,3746.0,31.2461,119.887,20.4957,79.5043,11.6484,65.0655,49.2737,37.6577,64.9345,7.374991
40109,Arequipa,Arequipa,Paucarpata,115143.0,28.3414,4062.7139,32.294,67.706,0.0,82.4644,45.6299,22.6943,72.4227,6.192393
40110,Arequipa,Arequipa,Pocsi,954.0,169.7544,5.6199,18.7938,81.2062,100.0,95.4023,56.351,64.4944,53.4247,14.39765
40111,Arequipa,Arequipa,Polobaya,1306.0,397.8799,3.2824,13.7969,86.2031,100.0,92.4528,39.9244,52.0908,58.7361,17.682058
40112,Arequipa,Arequipa,Quequeña,2917.0,34.8456,83.7121,21.7814,78.2186,2.0694,78.9683,50.3799,37.5836,66.3797,11.49163
40113,Arequipa,Arequipa,Sabandia,4618.0,35.8416,128.8447,35.5019,64.4981,0.2518,84.1699,46.1291,26.5797,70.6009,11.49163
40114,Arequipa,Arequipa,Sachaca,26913.0,14.2653,1886.606,46.1033,53.8967,0.0,85.1903,44.9883,18.3571,71.9627,6.565752
40115,Arequipa,Arequipa,San Juan De Siguas,1042.0,36.1773,28.8026,23.1818,76.8182,100.0,95.0,47.7032,45.6628,60.1027,14.39765
40116,Arequipa,Arequipa,San Juan De Tarucani,1793.0,2382.9644,0.7524,6.802,93.198,100.0,98.3264,31.6885,53.8126,44.8535,27.337288
40117,Arequipa,Arequipa,Santa Isabel De Siguas,902.0,182.9597,4.93,26.494,73.506,100.0,91.6667,41.0377,48.3871,56.0305,22.979894
40118,Arequipa,Arequipa,Santa Rita De Siguas,6523.0,424.7576,15.357,12.7733,87.2267,3.1497,98.033,48.2838,25.9892,58.8919,16.95343
40119,Arequipa,Arequipa,Socabaya,55860.0,25.6982,2173.6931,33.5607,66.4393,0.5826,95.2027,46.4164,23.0468,73.8812,4.704118
40120,Arequipa,Arequipa,Tiabaya,16642.0,37.219,447.1372,29.8542,70.1458,2.6311,90.7066,41.9919,23.1672,67.9383,7.44205
40121,Arequipa,Arequipa,Uchumayo,16801.0,270.5047,62.1098,30.3239,69.6761,5.2298,90.8264,41.7355,21.5953,69.8778,6.330234999999999
40122,Arequipa,Arequipa,Vitor,2881.0,1531.6614,1.881,21.6849,78.3151,100.0,54.3759,48.2047,43.9058,61.672,14.39765
40123,Arequipa,Arequipa,Yanahuara,30171.0,3.6639,8234.668,70.7947,29.2053,0.0,99.0367,48.2659,5.1737,85.1049,0.34531000000000006
40124,Arequipa,Arequipa,Yarabamba,5058.0,485.4483,10.4192,34.024,65.976,100.0,68.6275,49.6321,37.8234,68.4628,12.726925999999999
40125,Arequipa,Arequipa,Yura,28260.0,1918.5681,14.7297,16.8953,83.1047,1.4245,72.9827,44.344,37.5757,63.4068,14.126672000000001
40129,Arequipa,Arequipa,José Luis Bustamante Y Rivero,65548.0,11.0206,5947.7705,52.092,47.908,0.0,98.565,46.6662,10.6674,80.2716,1.433882
40301,Arequipa,Camana,Camana,13074.0,11.1404,1173.5665,54.0757,45.9243,0.0224,98.5966,48.3796,20.7676,71.6611,5.430922
