organizacion_id,organizacion,tipo_organizacion,grupo_id,grupo,grupo_n_orgs,es_ancla,listas,candidatos,reg,prov,dist,n_departamentos,departamentos,integrantes
2911,FRENTE REGIONAL TUPAC,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2911,FRENTE REGIONAL TUPAC,1,True,32,289,1,6,25,1,CUSCO,
1393,FUERZA AREQUIPEÑA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,1393,FUERZA AREQUIPEÑA,1,True,61,536,1,8,52,1,AREQUIPA,
3009,FUERZA CIUDADANA,PARTIDOS POLITICOS,3009,FUERZA CIUDADANA,1,True,54,846,10,43,1,15,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | HUANCAVELICA | HUANUCO | ICA | JUNIN | LAMBAYEQUE | LIMA | PIURA | TACNA | UCAYALI,
1366,FUERZA POPULAR,PARTIDOS POLITICOS,1366,FUERZA POPULAR,1,True,305,2885,9,45,251,15,ANCASH | AYACUCHO | CALLAO | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | PASCO | PIURA | SAN MARTIN | TUMBES | UCAYALI,
1264,JUNTOS POR EL PERU,PARTIDOS POLITICOS,1264,JUNTOS POR EL PERU + ALIADOS,2,True,204,2090,9,38,157,16,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | CAJAMARCA | CUSCO | HUANCAVELICA | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | UCAYALI,
3038,ASI - JUNTOS POR EL PERU,ALIANZAS ELECTORALES,1264,JUNTOS POR EL PERU + ALIADOS,2,False,110,859,1,13,96,1,PUNO,JUNTOS POR EL PERU | MOVIMIENTO REGIONAL ACCION SOCIAL POR LA INTEGRACION - ASI
2381,KAUSACHUN,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2381,KAUSACHUN,1,True,5,50,1,1,3,1,MOQUEGUA,
2933,LIBERTAD POPULAR,PARTIDOS POLITICOS,2933,LIBERTAD POPULAR,1,True,212,1720,2,30,180,12,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANUCO | ICA | JUNIN | LIMA | TUMBES,
1388,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,1388,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,1,True,48,449,1,8,39,1,PIURA,
2432,MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2432,MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,1,True,5,68,1,1,3,1,TACNA,
2162,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2162,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,1,True,33,288,1,6,26,1,HUANUCO,
2951,MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2951,MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE,1,True,109,862,1,13,95,1,CAJAMARCA,
2938,MOVIMIENTO POLITICO UNIDOS POR EL DESARROLLO DE HUANUCO - UDH,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2938,MOVIMIENTO POLITICO UNIDOS POR EL DESARROLLO DE HUANUCO - UDH,1,True,19,194,1,5,13,1,HUANUCO,
40,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,40,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1,True,70,531,1,7,62,1,AMAZONAS,
2307,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2307,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,1,True,38,373,1,5,32,1,AREQUIPA,
2878,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2878,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1,True,85,636,1,7,77,1,AMAZONAS,
2351,NUEVA ESPERANZA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2351,NUEVA ESPERANZA,1,True,3,37,0,1,2,1,TACNA,
2930,PARTIDO APRISTA PERUANO,PARTIDOS POLITICOS,2930,PARTIDO APRISTA PERUANO,1,True,148,1582,5,29,114,14,ANCASH | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | PIURA | TUMBES | UCAYALI,
2941,PARTIDO CIVICO OBRAS,PARTIDOS POLITICOS,2941,PARTIDO CIVICO OBRAS,1,True,61,765,4,13,44,7,AYACUCHO | CUSCO | LIMA | PIURA | PUNO | TACNA | UCAYALI,
3033,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU - COMUNIDAD POLITICA INKA PERU,ALIANZAS ELECTORALES,3033,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU - COMUNIDAD POLITICA INKA PERU,1,True,7,110,1,2,4,3,CAJAMARCA | LIMA | PIURA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE PERU | COMUNIDAD POLITICA INKA PERU
2961,PARTIDO DEL BUEN GOBIERNO,PARTIDOS POLITICOS,2961,PARTIDO DEL BUEN GOBIERNO,1,True,88,1162,10,38,40,17,ANCASH | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | ICA | JUNIN | LAMBAYEQUE | LIMA | MADRE DE DIOS | MOQUEGUA | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2867,PARTIDO DEMOCRATA UNIDO PERU,PARTIDOS POLITICOS,2867,PARTIDO DEMOCRATA UNIDO PERU,1,True,30,338,2,8,20,11,ANCASH | APURIMAC | AREQUIPA | CUSCO | HUANCAVELICA | ICA | LIMA | LORETO | PIURA | TACNA | UCAYALI,
2895,PARTIDO DEMOCRATA VERDE,PARTIDOS POLITICOS,2895,PARTIDO DEMOCRATA VERDE,1,True,190,1662,3,31,156,16,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANUCO | JUNIN | LA LIBERTAD | LIMA | LORETO | PASCO | PUNO | SAN MARTIN,
14,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDOS POLITICOS,14,PARTIDO DEMOCRATICO SOMOS PERU + ALIADOS,2,True,1092,9174,19,131,942,24,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | SAN MARTIN | TACNA | TUMBES | UCAYALI,
