mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
2800001,221269,122810,1085,261,1857,121464,631,616,69292,3130,43926,225,47,2224,59,142,78,370,64,15,35
2800010,10426,5233,20,12,56,5201,31,31,2625,252,2188,6,1,38,0,6,4,24,1,0,0
2800020,10513,5717,19,18,60,5680,37,37,3843,174,1518,8,3,28,1,12,9,15,6,1,2
2800030,8785,4384,29,17,55,4338,27,27,2548,199,1440,9,7,31,1,7,16,21,4,0,0
2800040,50627,31177,184,51,327,30942,154,154,17816,649,11441,48,9,459,11,25,16,115,15,2,9
2800041,15615,8388,51,17,152,8320,47,47,4328,836,2834,33,7,60,3,8,9,41,3,1,5
2800042,10045,5660,21,18,33,5621,36,36,3729,135,1659,12,2,24,0,13,2,11,0,1,0
2800045,5158,2535,8,11,37,2516,17,17,1267,130,1025,7,2,15,1,7,6,11,2,1,5
2800048,18668,9320,79,37,155,9204,57,57,2842,534,5446,22,10,90,2,12,16,48,20,1,6
2800049,15347,6063,26,17,71,6020,51,51,1900,315,3616,13,3,41,3,9,6,26,14,0,3
2800050,11216,5800,24,16,73,5760,34,33,3614,208,1779,9,3,32,3,4,2,30,2,0,1
2800055,20200,11872,44,26,91,11802,62,62,8203,287,3040,10,4,69,1,6,9,54,27,0,1
2800060,30173,13396,40,57,145,13299,101,98,4022,1228,7565,39,17,95,0,35,17,81,36,8,11
2800080,15756,9076,41,18,87,9017,50,50,5547,283,2914,30,3,86,4,8,9,38,4,0,4
2800100,23345,12541,64,49,104,12428,74,74,7680,373,4075,22,8,79,4,27,7,36,8,2,3
2800120,13448,7441,25,31,83,7385,43,42,4667,309,2234,12,4,33,1,5,6,23,5,0,3
2800160,36533,20259,176,69,285,20014,117,117,12495,754,6100,34,19,153,9,30,13,89,23,5,5
2800180,21659,10662,21,31,55,10610,73,73,5766,257,4371,17,4,46,3,14,12,54,8,0,3
2800190,12284,7291,35,15,73,7241,39,38,4103,114,2846,13,4,50,0,8,5,21,3,1,0
2800200,48063,22261,179,63,294,22019,146,146,12422,717,8058,49,25,159,6,41,21,174,34,12,7
2800220,47066,18473,131,116,198,18226,154,154,12645,970,3925,91,36,97,11,47,37,95,45,9,20
2800240,17780,9265,31,38,80,9196,52,52,5009,217,3714,16,10,53,6,24,5,50,9,0,3
2800260,27811,14230,116,42,207,14072,88,88,6856,600,6093,42,4,135,7,26,25,53,14,4,6
2800280,21493,9384,28,38,95,9318,78,76,3648,762,4606,23,16,37,5,14,17,59,21,6,9
2800300,26275,13953,119,33,177,13801,80,80,10148,325,2946,33,4,91,4,13,8,40,9,1,2
2800320,21678,11808,59,32,137,11717,68,68,7028,328,4034,21,6,86,5,17,7,40,5,1,2
2900001,474707,303947,3858,369,5268,299720,1366,1346,107510,27374,139137,2374,148,13345,129,611,420,2966,203,72,163
2900004,3744,2135,18,3,30,2114,15,15,407,465,1153,12,3,23,2,4,3,10,2,0,0
2900007,9155,4777,62,16,61,4699,30,30,1935,507,2028,20,4,46,2,14,9,62,6,1,4
2900010,6596,3432,55,5,47,3372,22,22,1623,292,1307,18,3,29,1,8,4,36,4,0,0
2900013,8737,3893,39,16,68,3838,27,27,894,563,2077,30,5,68,7,21,13,80,0,4,8
2900016,10533,5790,106,16,90,5668,33,33,2853,329,2143,50,5,72,6,11,9,96,0,1,3
2900019,16727,7278,66,38,85,7174,54,52,1343,1274,4158,38,14,80,1,20,35,103,19,2,2
2900022,17085,9059,135,40,217,8884,51,51,2900,796,4531,49,4,207,2,11,12,130,14,5,6
2900025,10551,6164,57,10,98,6097,33,32,1573,940,3178,41,3,151,2,4,10,81,6,9,1
2900028,5738,2856,35,22,64,2799,18,18,597,493,1462,27,5,48,4,7,5,77,5,4,1
2900031,8510,4984,53,14,42,4917,29,29,2446,337,1926,20,5,59,1,7,11,56,6,0,1
2900034,18820,10056,103,89,103,9864,59,59,5245,905,3302,52,26,74,10,18,29,80,13,2,5
2900037,7130,3913,25,10,34,3878,24,24,730,690,2312,17,7,30,1,2,9,38,5,0,3
2900040,41788,18935,251,96,400,18588,122,120,6347,1966,8991,131,32,337,12,31,46,241,35,6,13
2900043,7145,3946,34,8,34,3904,24,24,784,404,2544,17,3,67,1,3,8,28,5,1,5
2900046,62996,38243,605,99,714,37539,181,177,13386,4578,16676,346,36,911,30,145,75,558,37,9,38
2900049,6311,3295,60,15,52,3220,20,19,1197,359,1428,12,6,66,4,8,17,62,3,1,5
2900052,20068,11627,188,24,190,11415,59,57,4625,959,5120,98,6,174,8,31,17,166,12,2,7
2900055,28491,14631,263,71,321,14297,90,90,3561,2412,6891,128,20,482,3,47,49,331,41,7,4
2900058,26471,15540,219,64,246,15257,83,83,4125,2486,7665,93,27,249,15,47,46,204,35,5,14
2900061,5720,2994,48,13,52,2933,20,20,592,403,1704,13,10,78,3,10,11,45,8,4,0
2900064,22411,13122,188,27,188,12907,64,64,5755,987,5405,94,6,256,7,22,13,159,11,2,2
2900067,9467,5450,50,16,91,5384,29,29,2414,545,2109,49,1,88,4,10,7,57,3,2,4
2900070,15583,8394,110,13,128,8271,47,45,4269,701,2845,50,4,114,5,13,4,123,9,1,5
2900073,34080,18381,428,56,340,17897,102,102,8501,2012,6087,124,17,418,13,41,39,250,21,4,30
2900076,30400,16935,393,61,387,16481,91,90,6355,1305,7365,130,17,438,11,44,37,353,27,2,10
2900079,32868,19925,245,23,322,19657,99,99,5201,1460,11627,143,25,444,8,31,28,329,18,4,17
2900080,3744,1629,38,6,33,1585,12,12,535,298,657,4,2,28,1,6,4,13,1,1,2
2900082,14847,7645,70,28,87,7547,45,45,3943,826,2524,29,8,44,3,16,9,44,9,2,3
