mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
5200041,12044,7143,184,59,304,6900,37,36,3992,191,2016,48,10,76,9,27,17,182,15,4,9
5200042,9032,5201,101,18,99,5082,28,28,1358,347,3018,19,2,91,4,11,11,117,3,0,2
5200043,57552,33554,1239,116,959,32199,174,164,14003,967,13674,178,27,656,36,75,47,1494,41,12,30
5200044,9371,4817,73,26,121,4718,28,26,2197,164,2011,26,4,60,3,11,10,100,8,1,2
5200045,26354,16159,306,47,305,15806,81,81,4893,1077,8631,65,5,313,14,20,24,426,19,2,12
5200046,6175,2751,61,20,36,2670,22,22,1211,67,1260,6,1,17,3,6,6,52,4,0,1
5200047,7459,3651,78,18,69,3555,22,22,1359,185,1726,22,6,39,4,9,6,115,8,1,6
5200048,7290,3646,41,11,42,3594,24,23,1028,205,2112,10,7,51,5,6,9,105,9,2,3
5200049,9737,5049,131,26,109,4892,30,30,2214,268,1987,38,6,55,14,16,18,144,17,1,5
5200050,18511,11725,87,13,124,11625,53,53,3030,851,6950,54,8,409,11,7,11,157,7,0,6
5200055,9898,6174,121,15,107,6038,31,31,1974,355,3223,29,2,88,4,18,11,207,14,1,5
5200058,6385,3620,40,10,68,3570,21,21,1376,304,1682,16,1,40,4,8,5,61,3,0,2
5200059,1358,737,9,0,18,728,7,7,112,42,522,3,0,11,0,1,1,18,0,0,0
5200060,19060,11485,187,27,214,11271,59,58,3088,746,6454,59,9,232,3,19,28,391,18,2,8
5200074,7620,4855,55,20,64,4780,23,22,4129,56,427,7,1,36,1,11,4,41,1,0,2
5200080,14441,7729,201,33,194,7495,47,47,2894,372,3670,48,6,86,5,16,15,164,20,1,4
5400001,48325,25073,528,101,785,24444,150,144,8783,1549,11716,213,15,661,11,65,55,519,26,15,31
5400003,7262,3161,65,16,113,3080,23,23,1434,122,1198,28,8,57,2,9,10,81,11,2,5
5400007,10051,4703,82,28,135,4593,33,33,1305,266,2609,37,8,87,2,13,9,110,5,3,4
5400012,3666,1160,24,6,30,1130,15,15,788,40,213,16,2,15,1,3,2,19,1,0,0
5600001,48943,16896,79,30,618,16787,142,142,7346,694,7404,64,20,511,10,29,18,48,9,1,15
5600004,4847,1221,7,1,51,1213,14,14,590,132,389,6,3,24,1,2,4,4,3,1,3
6000001,45224,20060,200,68,394,19792,134,130,9713,1373,7186,183,25,461,24,51,37,297,21,7,20
6000007,5172,1897,12,19,40,1866,17,15,1381,97,280,12,5,6,6,3,5,20,3,4,4
6000010,760,271,0,1,0,270,3,3,216,8,37,3,1,1,0,2,1,0,1,0,0
6000013,1132,587,2,0,2,585,4,4,544,12,25,1,0,0,0,0,0,1,0,0,0
6000016,1348,405,3,2,3,400,4,4,327,7,49,3,1,3,0,2,3,1,0,0,1
6000017,75,29,0,0,1,29,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0
6000019,560,96,0,0,2,96,3,3,89,1,4,0,0,0,0,0,0,0,0,0,0
6000021,572,133,1,0,2,132,2,2,93,14,19,2,0,2,0,0,0,0,0,0,0
6000022,1607,500,5,1,25,494,5,5,356,16,69,2,0,3,3,4,2,12,1,0,1
6000030,289,112,0,0,0,112,1,1,94,3,14,0,1,0,0,0,0,0,0,0,0
6000040,535,190,0,0,0,190,2,2,163,9,15,1,0,0,1,0,0,0,0,1,0
6400001,43380,25252,214,37,406,25001,134,134,17187,1099,5426,86,17,493,6,21,18,213,18,5,6
6400002,53588,26653,535,131,837,25987,160,159,17813,853,5136,152,19,496,14,55,40,480,56,9,27
6400004,15722,5473,69,40,123,5364,50,49,2815,185,1978,28,8,90,7,22,16,71,11,5,5
6400007,4734,2870,19,3,46,2848,14,14,1878,184,663,10,1,39,0,1,9,14,1,1,1
6400013,4843,2933,24,6,58,2903,15,15,1851,208,698,8,0,51,9,2,1,13,4,0,0
6400016,6715,3702,32,15,62,3655,19,19,2767,107,646,10,0,34,0,3,0,23,1,1,1
6400018,15922,7353,113,29,193,7211,51,51,5752,192,698,35,6,109,2,16,8,133,54,8,5
6400019,11358,7266,50,20,131,7196,33,33,5006,381,1467,34,1,123,0,5,5,33,5,2,3
6400023,31867,16064,155,57,223,15852,98,98,12783,340,1925,60,11,215,3,28,18,204,34,4,4
6400025,12863,5417,89,31,174,5297,44,44,3573,161,1159,37,6,47,3,17,14,86,11,4,5
6400026,10806,4914,84,24,123,4806,34,34,3513,165,795,24,3,79,3,9,11,70,10,0,1
6400028,30448,15293,162,63,322,15068,93,93,12120,187,1768,53,11,190,7,27,15,192,166,7,3
6400030,21204,10813,153,34,225,10626,64,63,7005,335,2649,45,2,153,3,14,14,158,15,4,4
6800001,19993,7511,38,23,121,7450,64,64,5531,291,1206,52,12,121,3,43,13,39,8,6,4
6800004,1743,541,4,2,7,535,6,6,413,24,57,7,0,8,0,5,3,9,1,0,1
6800010,186,85,0,0,1,85,2,2,61,0,17,2,2,1,0,1,0,0,0,0,0
6800013,1253,356,1,2,2,353,6,6,330,3,7,3,0,3,0,2,0,1,2,0,0
6800017,1876,406,3,1,8,402,6,6,278,14,85,3,0,11,0,0,0,2,0,1,0
6800022,1059,355,0,2,2,353,4,4,319,12,7,2,3,3,0,2,0,1,1,1,0
7200001,21237,7996,90,30,179,7876,66,63,2636,567,4061,42,8,166,12,26,15,146,8,3,7
7200002,3457,1658,9,9,24,1640,12,12,289,73,1206,10,2,7,0,2,1,25,0,0,1
7200006,25298,6561,47,32,68,6482,93,81,4959,119,1116,22,18,41,10,24,12,78,9,3,3
7200008,7363,3488,12,8,48,3468,26,26,647,135,2499,6,4,66,3,5,1,47,3,0,4
8800115,76,45,0,0,0,45,8,8,21,4,16,2,0,2,0,0,0,0,0,0,0
8800120,20898,12005,11,0,133,11994,54,54,5649,1464,2500,362,1,1843,2,6,4,14,4,2,10
8800130,22,8,0,0,0,8,7,7,2,0,2,0,0,4,0,0,0,0,0,0,0
8800135,34,22,0,0,0,22,7,7,11,4,3,1,0,3,0,0,0,0,0,0,0
8800140,2934,1191,4,3,12,1184,11,11,293,38,801,4,0,25,1,0,0,9,1,0,0
8800155,21438,10374,18,0,138,10356,56,56,4499,908,3817,170,8,779,3,2,8,13,3,0,8
8800160,7084,3515,8,2,22,3505,23,23,773,203,2377,24,1,67,0,1,4,30,2,0,1
8800165,32121,19900,22,0,291,19878,72,71,8387,1412,6826,370,2,2502,1,11,5,47,11,4,9
8800170,2853,1640,0,0,22,1640,11,11,802,161,416,45,0,189,0,0,2,0,0,0,3
8800190,5054,2656,0,1,27,2655,16,16,1161,350,801,64,3,236,0,1,1,7,2,0,2
8800215,1818,645,1,0,2,644,10,10,125,39,439,3,1,19,0,1,0,15,0,0,0
8800220,9264,4170,10,1,46,4159,52,51,1895,440,1418,72,0,270,0,1,3,10,2,0,2
8800250,73237,39305,22,7,346,39276,219,187,11084,4103,19802,645,9,3157,8,11,8,76,12,3,12
8800275,428,252,0,0,1,252,7,7,82,34,96,9,0,30,0,0,0,0,0,0,0
8800285,11848,3512,5,1,17,3506,27,9,589,318,2409,24,0,133,0,1,1,9,2,1,2
8800290,916,608,1,1,8,606,8,8,449,14,120,2,0,13,0,0,0,0,0,0,0
8800305,45253,15542,86,15,183,15441,112,85,6195,1297,6831,172,8,533,8,9,16,154,13,5,17
8800315,1288,720,0,0,17,720,28,28,226,99,300,12,0,63,0,0,0,1,0,0,2
8800325,1078,665,0,1,10,664,9,9,304,103,123,32,0,90,0,1,0,1,0,0,0
8800330,43357,6393,63,34,81,6296,111,61,1643,703,3496,59,6,151,11,35,35,29,34,3,10
8800335,453,161,0,0,3,161,8,8,38,14,91,4,2,8,0,0,1,0,0,0,0
8800340,848,313,0,0,2,313,9,6,30,44,208,9,0,16,0,3,1,0,0,0,0
8800350,4530,2542,3,0,24,2539,20,20,446,225,1664,31,0,130,0,0,0,19,0,0,0
8800355,307996,127637,384,46,1455,127207,696,696,54162,11073,51858,1233,46,6053,36,72,66,977,75,27,74
8800360,454262,134771,89,23,426,134659,987,573,18440,11566,98856,797,12,4154,5,32,29,266,39,13,24
8800370,185,91,0,0,1,91,7,7,29,14,37,3,0,6,0,0,1,0,0,0,0
8800375,554,302,0,0,4,302,7,7,141,40,70,9,1,35,0,0,1,1,0,0,0
8800380,26881,14271,11,1,156,14259,81,81,6699,1670,3607,357,2,1690,5,6,5,50,5,2,5
8800410,2307,939,1,0,5,938,10,6,82,102,693,12,0,40,0,0,0,2,2,0,0
8800430,24,14,0,0,1,14,7,7,8,1,3,0,0,0,0,0,0,0,1,0,0
8800435,6554,3139,2,0,33,3137,22,22,1121,495,986,93,2,402,0,2,1,1,0,0,1
8800440,780,249,0,0,0,249,8,6,38,39,158,3,0,11,0,0,0,0,0,0,0
8800445,390,246,0,0,10,246,7,7,106,31,54,6,0,38,0,0,0,1,0,0,0
8800455,95,32,0,0,1,32,7,7,9,3,12,1,0,6,0,0,0,0,0,0,0
8800460,101,35,0,0,0,35,7,7,8,13,11,0,0,3,0,0,0,0,0,0,0
8800465,23331,11654,11,5,77,11638,74,74,3788,1622,5175,180,12,717,6,1,1,53,3,0,3
8800470,921,603,0,0,3,603,8,8,247,94,171,30,0,57,0,0,0,1,0,0,0
8800490,2311,897,2,0,2,895,11,11,92,44,728,3,0,19,0,0,1,6,0,0,0
8800495,19729,8452,15,0,103,8437,47,47,3313,851,3087,137,1,885,2,5,3,37,5,2,6
8800500,346,66,0,0,0,66,8,7,17,11,38,0,0,0,0,0,0,0,0,0,0
8800505,1459,526,0,1,10,525,11,11,182,48,227,18,0,38,0,0,1,1,0,0,0
8800515,123,68,0,0,0,68,7,7,25,15,16,3,0,9,0,0,0,0,0,0,0
8800535,1450,123,0,0,3,123,9,9,24,36,58,0,0,2,0,0,0,0,0,0,0
8800560,163,101,0,0,2,101,7,7,18,28,46,2,0,5,0,0,0,0,0,0,0
8800580,72,34,0,0,0,34,7,7,7,8,12,1,0,6,0,0,0,0,0,0,0
8800590,22026,8715,3,0,46,8712,80,48,2013,1499,4505,99,2,531,1,0,3,9,2,2,0
8800620,287,95,0,0,0,95,7,6,18,5,66,1,0,5,0,0,0,0,0,0,0
8800625,2334,1299,2,0,28,1297,10,10,494,149,448,33,0,140,0,1,0,2,0,0,2
8800635,1184,568,1,0,8,567,8,8,258,89,145,18,0,48,0,0,0,0,0,0,1
8800655,29196,7002,5,3,35,6994,87,53,1238,766,4615,41,1,265,0,2,3,22,2,2,2
8800665,805,371,0,0,0,371,8,8,77,32,248,2,0,10,0,0,0,1,0,0,1
8800670,9154,2703,3,0,23,2700,28,21,482,411,1561,40,0,160,2,1,0,17,3,0,0
8800675,3567,1065,2,0,17,1063,14,14,622,59,282,14,0,54,0,0,0,14,0,0,1
8800680,5340,3190,11,1,49,3178,18,18,1329,267,1176,38,1,299,0,1,2,10,2,1,3
8800683,2341,1193,2,0,4,1191,11,11,274,129,699,10,0,70,0,1,0,3,0,0,1
8800685,4022,2105,3,1,15,2101,13,13,328,234,1399,27,0,90,0,1,1,3,0,0,3
8800688,338,196,0,0,3,196,7,7,32,52,86,1,0,22,0,0,0,0,0,0,0
8800690,84,33,0,0,1,33,7,7,17,4,8,0,0,3,0,0,0,0,0,0,0
8800700,821,175,0,0,7,175,8,8,111,11,31,4,0,11,0,0,0,0,0,0,0
8800745,216,110,0,0,1,110,8,8,21,22,53,6,0,6,0,0,0,0,0,0,1
8800755,3748,1518,1,2,15,1515,27,27,815,165,384,39,0,88,0,2,0,6,0,0,1
8800760,9072,4515,3,2,30,4510,21,21,1766,580,1672,80,0,363,1,1,2,13,1,0,1
8800765,188,114,0,0,0,114,7,7,43,10,46,2,0,13,0,0,0,0,0,0,0
8800770,441,225,0,0,3,225,14,14,119,27,57,2,0,17,0,0,0,0,0,0,0
8800785,318,109,0,0,5,109,9,8,24,7,62,3,0,7,0,0,0,0,0,0,1
8800805,1531,783,2,0,12,781,9,9,313,83,317,8,0,44,0,0,1,2,0,0,1
8800815,180782,19017,68,64,57,18885,349,251,3773,1858,12542,109,27,168,53,56,67,67,76,10,22
