puesto_code,puesto_name,num_mesas,dept_reg_code,dept_name,mpio_reg_code_7,mpio_name,zona_code,zona_name,is_exterior
3100001270007,SEDE JHON F KENNEDY,2,3100,VALLE,3100001,CALI,310000127,ZONA27,False
3100022020003,SEDE JOAQUIN CAMILO TORRES,7,3100,VALLE,3100022,BUGA,310002202,ZONA02,False
1200075020006,SEDE JOSE ANDRES PADILLA CABARCAS,2,1200,CESAR,1200075,AGUACHICA,120007502,ZONA02,False
2500061020008,SEDE JOSE ANTONIO GALAN,12,2500,NORTE DE SAN,2500061,OCAÑA,250006102,ZONA02,False
0100232000000,SEDE JUAN JOSE HOYOS,28,0100,ANTIOQUIA,0100232,SAN LUIS,010023200,ZONA00,False
3100022010001,SEDE JULIAN MENDOZA GUERRERO,12,3100,VALLE,3100022,BUGA,310002201,ZONA01,False
0100151030005,SEDE JUNTA DE ACCION COMUNAL LA FINQUITA,3,0100,ANTIOQUIA,0100151,ITAGUI,010015103,ZONA03,False
0100151080004,SEDE JUNTA DE ACCION COMUNAL LA UNIÓN,1,0100,ANTIOQUIA,0100151,ITAGUI,010015108,ZONA08,False
2500061010009,SEDE KENNEDY,3,2500,NORTE DE SAN,2500061,OCAÑA,250006101,ZONA01,False
1100001990004,SEDE LA CALERA IE LAS MERCEDES,1,1100,CAUCA,1100001,POPAYAN,110000199,ZONA99,False
2500061010001,SEDE LLANADAS NO 2,19,2500,NORTE DE SAN,2500061,OCAÑA,250006101,ZONA01,False
3100001300007,SEDE LOS CRISTALES,7,3100,VALLE,3100001,CALI,310000130,ZONA30,False
3100001080006,SEDE LOS VENCEDORES,17,3100,VALLE,3100001,CALI,310000108,ZONA08,False
3100001050001,SEDE MANUELA BELTRAN,25,3100,VALLE,3100001,CALI,310000105,ZONA05,False
3100022040004,SEDE MARIA AUXILIADORA,9,3100,VALLE,3100022,BUGA,310002204,ZONA04,False
1300004010005,SEDE MARIA AUXILIADORA VILLA ESPERANZA,2,1300,CORDOBA,1300004,AYAPEL,130000401,ZONA01,False
3100022050001,SEDE MARIA LUISA DE LA ESPADA,19,3100,VALLE,3100022,BUGA,310002205,ZONA05,False
1300004010003,SEDE MARIA MONTESSORI,1,1300,CORDOBA,1300004,AYAPEL,130000401,ZONA01,False
3100001010006,SEDE MARICE SINISTERRA TERRON,15,3100,VALLE,3100001,CALI,310000101,ZONA01,False
3100022040002,SEDE MARISCAL SUCRE,12,3100,VALLE,3100022,BUGA,310002204,ZONA04,False
0100103990002,SEDE MONTAÑUELA - I. E. SAN LUIS GONZAGA,1,0100,ANTIOQUIA,0100103,COPACABANA,010010399,ZONA99,False
3100001320001,SEDE NUEVO AMANECER,25,3100,VALLE,3100001,CALI,310000132,ZONA32,False
2800040020004,SEDE PRIMERA DE VALPARAISO,14,2800,SUCRE,2800040,COROZAL,280004002,ZONA02,False
4800010020003,SEDE PRINCIPAL ROSA MARIA PARODI,31,4800,LA GUAJIRA,4800010,MAICAO,480001002,ZONA02,False
1100001990054,SEDE PUEBLILLO IE ALEJANDRO DE HUMBOLDT,1,1100,CAUCA,1100001,POPAYAN,110000199,ZONA99,False
3100001210002,SEDE PUERTA DEL SOL,33,3100,VALLE,3100001,CALI,310000121,ZONA21,False
2100001080006,SEDE RECREATIVA COOEDUMAG,14,2100,MAGDALENA,2100001,SANTA MARTA,210000108,ZONA08,False
3100001140001,SEDE REPUBLICA DE COSTA RICA,29,3100,VALLE,3100001,CALI,310000114,ZONA14,False
1500115990004,SEDE RURAL CEDRALES,1,1500,CUNDINAMARCA,1500115,GUADUAS,150011599,ZONA99,False
3100022040008,SEDE SAN JOSE,1,3100,VALLE,3100022,BUGA,310002204,ZONA04,False
4800016010002,SEDE SAN JOSE,38,4800,LA GUAJIRA,4800016,URIBIA,480001601,ZONA01,False
0100064990003,SEDE SAN PABLO - C.E.R. EL TIGRE,2,0100,ANTIOQUIA,0100064,CACERES,010006499,ZONA99,False
3100001050006,SEDE SAN VICENTE DE PAUL,14,3100,VALLE,3100001,CALI,310000105,ZONA05,False
1100001990056,SEDE SILOE IE FRANCISCO ANTONIO DE ULLOA,1,1100,CAUCA,1100001,POPAYAN,110000199,ZONA99,False
1300004010004,SEDE SIMON BOLIVAR,2,1300,CORDOBA,1300004,AYAPEL,130000401,ZONA01,False
3100001310004,SEDE SIMON BOLIVAR,22,3100,VALLE,3100001,CALI,310000131,ZONA31,False
2500061010002,SEDE SIMON BOLIVAR NO 1,12,2500,NORTE DE SAN,2500061,OCAÑA,250006101,ZONA01,False
2800040020001,SEDE SOR MARIA ANGELICA,10,2800,SUCRE,2800040,COROZAL,280004002,ZONA02,False
3100022030002,SEDE TEOFILO DORRONSORO,14,3100,VALLE,3100022,BUGA,310002203,ZONA03,False
2800040010002,SEDE TRES DE MARZO,15,2800,SUCRE,2800040,COROZAL,280004001,ZONA01,False
3100028020001,SEDE UNIVALLE,15,3100,VALLE,3100028,CAICEDONIA,310002802,ZONA02,False
2700013020003,SEDE UNIVERSIDAD UIS,13,2700,SANTANDER,2700013,BARBOSA,270001302,ZONA02,False
4800010010005,SEDE YANET MARULANDA NIEVES,13,4800,LA GUAJIRA,4800010,MAICAO,480001001,ZONA01,False
1100031990035,SEGOVIA,2,1100,CAUCA,1100031,INZA,110003199,ZONA99,False
2800160990090,SEGOVIA,3,2800,SUCRE,2800160,SAMPUES,280016099,ZONA99,False
1100025990083,SEGUENGUE,2,1100,CAUCA,1100025,EL TAMBO,110002599,ZONA99,False
0900001090005,SEM. MENOR DE NUESTRA SEÑORA DEL ROSARIO,8,0900,CALDAS,0900001,MANIZALES,090000109,ZONA09,False
0300001340003,SEM.CONCILIAR SAN LUIS BELTRAN,26,0300,ATLANTICO,0300001,BARRANQUILLA,030000134,ZONA34,False
0500001070004,SEMINARIO CARTAGENA,13,0500,BOLIVAR,0500001,CARTAGENA,050000107,ZONA07,False
4400001010009,SEMINARIO MAYOR ARQUIDIOCESANO SAN JOSE,6,4400,CAQUETA,4400001,FLORENCIA,440000101,ZONA01,False
2700019030005,SEMINARIO SAN PEDRO CLAVER,9,2700,SANTANDER,2700019,BARRANCABERMEJA,270001903,ZONA03,False
1200300990079,SEMPEGUA,3,1200,CESAR,1200300,CHIMICHAGUA,120030099,ZONA99,False
0100001200003,SENA,18,0100,ANTIOQUIA,0100001,MEDELLIN,010000120,ZONA20,False
0100262020002,SENA,11,0100,ANTIOQUIA,0100262,SONSON,010026202,ZONA02,False
1300001040005,SENA,15,1300,CORDOBA,1300001,MONTERIA,130000104,ZONA04,False
1500109030006,SENA,4,1500,CUNDINAMARCA,1500109,GIRARDOT,150010903,ZONA03,False
1500328010002,SENA,18,1500,CUNDINAMARCA,1500328,VILLETA,150032801,ZONA01,False
1600001150013,SENA,21,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000115,ZONA15,False
2400001060002,SENA,32,2400,RISARALDA,2400001,PEREIRA,240000106,ZONA06,False
2700181010002,SENA,13,2700,SANTANDER,2700181,SAN GIL,270018101,ZONA01,False
2900001090002,SENA,34,2900,TOLIMA,2900001,IBAGUE,290000109,ZONA09,False
